Num,Status,location_name,from,to,from_lat_long,to_lat_long,from_lat,from_long,to_lat,to_long
2305,Complete,2221-2545 S Ashland Ave,2221 S Ashland Ave,2545 S Ashland Ave,"[41.851778, -87.665808]","[41.845669, -87.665254]",41.851778,-87.665808,41.845669,-87.665254
2249,Complete,2226-2545 S Ashland Ave,2226 S Ashland Ave,2545 S Ashland Ave,"[41.851325, -87.666304]","[41.845669, -87.665254]",41.851325,-87.666304,41.845669,-87.665254
1332,Complete,2400-3140 S Kedzie Ave,2400 S Kedzie Ave,3140 S Kedzie Ave,"[41.847935, -87.70549]","[41.83581015388985, -87.7048210135158]",41.847935,-87.70549,41.83581015,-87.70482101
1353,Complete,2723-3100 S Archer Ave,2723 S Archer Ave,3100 S Archer Ave,"[41.843964, -87.652559]","[41.83762047488891, -87.66599581207548]",41.843964,-87.652559,41.83762047,-87.66599581
1367,Complete,3200-3236 S Lawndale Ave,3200 S Lawndale Ave,3236 S Lawndale Ave,"[41.83505, -87.717328]","[41.834076, -87.717214]",41.83505,-87.717328,41.834076,-87.717214
1089,Complete,340-22 E Illinois St,340 E Illinois St,22 E Illinois St,"[41.891100553886055, -87.61748692001967]","[41.8904867, -87.6274133]",41.89110055,-87.61748692,41.8904867,-87.6274133
177,Complete,7503-7859 S Emerald Ave,7503 S Emerald Ave,7859 S Emerald Ave,"[41.7576024537777, -87.6429517375863]",[],41.75760245,-87.64295174,None,None
378,Complete,On W Eddy St From N Lamon Ave To N Leclaire Ave,W Eddy St And N Lamon Ave,W Eddy St And N Leclaire Ave,[],[],None,None,None,None
1034,Complete,7612-7760 W Touhy Ave,7612 W Touhy Ave,7760 W Touhy Ave,"[42.011703, -87.816989]","[42.011420358939176, -87.81995877508338]",42.011703,-87.816989,42.01142036,-87.81995878
14,Complete,On E 130th St From S Torrence Ave To S Brandon Ave,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave,"[41.6585765, -87.5591909]","[41.6591146948932, -87.5459318306496]",41.6585765,-87.5591909,41.65911469,-87.54593183
1988,Complete,On E 131st St From S Exchange Ave To S Marquette Ave,E 131st St And S Exchange Ave,E 131st St And S Marquette Ave,"[41.657371, -87.551988]","[41.657377, -87.556863]",41.657371,-87.551988,41.657377,-87.556863
1886,Complete,On E 67th St From S Paxton Ave To S Crandon Ave,E 67th St And S Paxton Ave,E 67th St And S Crandon Ave,"[41.773515, -87.571604]","[41.773535, -87.569984]",41.773515,-87.571604,41.773535,-87.569984
1888,Complete,On E 67th St From S Paxton Ave To S Merrill Ave,E 67th St And S Paxton Ave,E 67th St And S Merrill Ave,"[41.773515, -87.571604]","[41.773498, -87.572821]",41.773515,-87.571604,41.773498,-87.572821
1554,Complete,On N California Ave From W Eisenhower Expy To W Harrison St,N California Ave And W Eisenhower Expy,N California Ave And W Harrison St,[],"[41.873818, -87.696109]",None,None,41.873818,-87.696109
837,Complete,On N Claremont Ave From N Division St To N Potomac Ave,N Claremont Ave And N Division St,N Claremont Ave And N Potomac Ave,[],"[41.9048995, -87.6858963]",None,None,41.9048995,-87.6858963
2182,Complete,On N Cumberland Ave From W Lawrence Ave To W Sunnyside Ave,N Cumberland Ave And W Lawrence Ave,N Cumberland Ave And W Sunnyside Ave,"[41.9666233, -87.8366769]","[41.961603, -87.836735]",41.9666233,-87.8366769,41.961603,-87.836735
2174,Complete,On N Halsted St From W Evergreen Ave To N 1534,N Halsted St And W Evergreen Ave,1534 N Halsted St,"[41.906417, -87.64814]","[41.909713, -87.64836]",41.906417,-87.64814,41.909713,-87.64836
1043,Complete,On N Loomis St From W Arbour Pl To W Fulton St,N Loomis St And W Arbour Pl,N Loomis St And W Fulton St,[],"[41.886604, -87.662471]",None,None,41.886604,-87.662471
1160,Complete,On N Oakley Blvd From W Kinzie St To W Adams St,N Oakley Blvd And W Kinzie St,N Oakley Blvd And W Adams St,"[41.8886053, -87.6841668]",[],41.8886053,-87.6841668,None,None
328,Complete,On N Octavia Ave From W Ibsen St To W Estes Ave,N Octavia Ave And W Ibsen St,N Octavia Ave And W Estes Ave,"[42.006213, -87.809138]",[],42.006213,-87.809138,None,None
1174,Complete,On N Pioneer Ave From W Berteau Ave To W Irving Park Rd,N Pioneer Ave And W Berteau Ave,N Pioneer Ave And W Irving Park Rd,"[41.9558489, -87.8318321]","[41.9521744, -87.8316532]",41.9558489,-87.8318321,41.9521744,-87.8316532
1650,Complete,On S Albany Ave From W 71st St To W 73rd St,S Albany Ave And W 71st St,S Albany Ave And W 73rd St,"[41.764419, -87.700374]","[41.7607749, -87.7002706]",41.764419,-87.700374,41.7607749,-87.7002706
