location_name,blockgroup_id,distance
On W Eddy St From N Lamon Ave To N Leclaire Ave,'170311510011',0.214609173
On W Eddy St From N Lamon Ave To N Leclaire Ave,'170311510023',0.197513268
1600-1950 W Roosevelt Rd,'170318382002',0.4105
1600-1950 W Roosevelt Rd,'170318429004',0.4105
150-200 E 109th St,'170314909013',0.102205721
150-200 E 109th St,'170314909012',0.406
150-200 E 109th St,'170314910002',0.397
On S Manistee Ave From E 126th St To S Escanaba Ave,'170315502001',0.119
On S Manistee Ave From E 126th St To S Escanaba Ave,'170318388002',0.077
On W Polk St From S Dan Ryan Expy To S Shields Ave,'170318419001',0.346
On W Polk St From S Dan Ryan Expy To S Shields Ave,'170318419002',0.346
On N California Ave From W Eisenhower Expy To W Harrison St,'170318370001',0.087
On N California Ave From W Eisenhower Expy To W Harrison St,'170318374002',0.087
On N Claremont Ave From N Division St To N Potomac Ave,'170312412002',0.199
On N Loomis St From W Arbour Pl To W Fulton St,'170318330002',0.180525281
On S Clark St From W 21st St To S Archer Ave,'170313302001',0.0525
On S Clark St From W 21st St To S Archer Ave,'170318411001',0.0525
On S Lytle St From W Harrison St To W Lexington St,'170318329002',0.228
On S Wallace St From W 58th St To W 59th St,'170318347003',0.204037563
On W Ardmore Ave From N Lake Shore Dr To N Broadway,'170310306042',0.079
On W Ardmore Ave From N Lake Shore Dr To N Broadway,'170310306013',0.033
On W Ardmore Ave From N Lake Shore Dr To N Broadway,'170310306043',0.062
On W Ardmore Ave From N Lake Shore Dr To N Broadway,'170310306011',0.058
On W Ardmore Ave From N Lake Shore Dr To N Broadway,'170310306032',0.1425
On W Ardmore Ave From N Lake Shore Dr To N Broadway,'170310306012',0.1135
On W Ogden Ave From S Kenton Ave To S Pulaski Rd,'170318434001',1.309
On W Thorndale Ave From N Keystone Ave To N Pulaski Rd,'170311302001',0.122319134
7503-7859 S Emerald Ave,'170316813003',0.196168601
7503-7859 S Emerald Ave,'170317101001',0.602
On N Oakley Blvd From W Kinzie St To W Adams St,'170318378001',0.83
On N Oakley Blvd From W Kinzie St To W Adams St,'170318380001',0.1455
On N Oakley Blvd From W Kinzie St To W Adams St,'170312809001',0.1455
On N Octavia Ave From W Ibsen St To W Estes Ave,'170310902001',0.406
On S Hamilton Ave From W Adams St To W Gladys Ave,'170318380002',0.197
On S Wallace St From W Garfield Blvd To W 57th St,'170318347003',0.414
On W Carmen Ave From N Ravenswood Ave To N Paulina St,'170310310002',0.1175
On W Carmen Ave From N Ravenswood Ave To N Paulina St,'170310310001',0.1175
On W Elm St From N Cleveland Ave To N Sedgwick St,'170318383001',0.189
On W Gunnison St From N Laramie Ave To N Leamington Ave,'170311105022',0.085
On W Gunnison St From N Laramie Ave To N Leamington Ave,'170311105021',0.085
On W North Ave From N Hamlin Ave To N Kimball Ave,'170312302001',0.059
On W North Ave From N Hamlin Ave To N Kimball Ave,'170312309003',0.1035
On W North Ave From N Hamlin Ave To N Kimball Ave,'170312303001',0.143
On W North Ave From N Hamlin Ave To N Kimball Ave,'170312308001',0.0985
On W North Ave From N Hamlin Ave To N Kimball Ave,'170312304001',0.2015
On W North Ave From N Hamlin Ave To N Kimball Ave,'170312307001',0.2015
On W Polk St From S Racine Ave To S Morgan St,'170318333001',0.472
On W Polk St From S Wells St To S S Branch Chicago River,'170318390001',0.1325
On W Polk St From S Wells St To S S Branch Chicago River,'170318390002',0.1325
2221-2545 S Ashland Ave,'170318432002',0.69
2226-2545 S Ashland Ave,'170318432002',0.635
2400-3140 S Kedzie Ave,'170318305003',0.079
2400-3140 S Kedzie Ave,'170318435001',0.4875
2400-3140 S Kedzie Ave,'170318408002',0.203
2400-3140 S Kedzie Ave,'170318408001',0.2055
2400-3140 S Kedzie Ave,'170313009002',0.187
2400-3140 S Kedzie Ave,'170313008002',0.187
2723-3100 S Archer Ave,'170318404001',0.207
2723-3100 S Archer Ave,'170316007002',0.5315
2723-3100 S Archer Ave,'170316007001',0.0885
2723-3100 S Archer Ave,'170316006002',0.276
2723-3100 S Archer Ave,'170316006001',0.071
2723-3100 S Archer Ave,'170318402001',0.14
3200-3236 S Lawndale Ave,'170318305003',0.0535
3200-3236 S Lawndale Ave,'170318305002',0.0535
340-22 E Illinois St,'170310815003',0.266
340-22 E Illinois St,'170310814031',0.541
