,all_locations,api_address,lat_long,location_object,quality
2951,10 N Morgan St,"10 N Morgan St, Chicago, IL 60607","[41.8823133, -87.6496667]","<[OK] Bing - Geocode [10 N Morgan St, Chicago, IL 60607]>",Address
1256,10 N Western Ave,"10 N Western Ave, Chicago, IL 60612","[41.881389375895964, -87.68658045799546]","<[OK] Bing - Geocode [10 N Western Ave, Chicago, IL 60612]>",Address
4027,10 W Jackson Blvd,"10 W Jackson Blvd, Chicago, IL 60604","[41.878515, -87.628143]","<[OK] Bing - Geocode [10 W Jackson Blvd, Chicago, IL 60604]>",Address
2915,100 E Ohio St,"100 E Ohio St, Chicago, IL 60611","[41.892629, -87.625245]","<[OK] Bing - Geocode [100 E Ohio St, Chicago, IL 60611]>",Address
2908,100 N Sangamon St,"100 N Sangamon St, Chicago, IL 60607","[41.883242, -87.651066]","<[OK] Bing - Geocode [100 N Sangamon St, Chicago, IL 60607]>",Address
1010,1000 W 47th St,"1000 W 47th St, Chicago, IL 60609","[41.8095149, -87.6500329]","<[OK] Bing - Geocode [1000 W 47th St, Chicago, IL 60609]>",Address
520,10041 S Union Ave,"10041 S Union Ave, Chicago, IL 60628","[41.711018, -87.640224]","<[OK] Bing - Geocode [10041 S Union Ave, Chicago, IL 60628]>",Address
1879,10050 S Prospect Ave,"10050 S Prospect Ave, Chicago, IL 60643","[41.710676027599064, -87.66250656553076]","<[OK] Bing - Geocode [10050 S Prospect Ave, Chicago, IL 60643]>",Address
3784,10100 S Prospect Ave,"10100 S Prospect Ave, Chicago, IL 60643","[41.70958314535712, -87.66241328597182]","<[OK] Bing - Geocode [10100 S Prospect Ave, Chicago, IL 60643]>",Address
547,10100 S Seeley Ave,"10100 S Seeley Ave, Chicago, IL 60643","[41.710028, -87.674059]","<[OK] Bing - Geocode [10100 S Seeley Ave, Chicago, IL 60643]>",Address
1294,1026 W Leland Ave,"1026 W Leland Ave, Chicago, IL 60640","[41.9673907, -87.6559012]","<[OK] Bing - Geocode [1026 W Leland Ave, Chicago, IL 60640]>",Address
1431,10400 S State St,"10400 S State St, Chicago, IL 60628","[41.70519999677576, -87.62354060944698]","<[OK] Bing - Geocode [10400 S State St, Chicago, IL 60628]>",Address
3377,10450 S State St,"10450 S State St, Chicago, IL 60628","[41.703825, -87.623769]","<[OK] Bing - Geocode [10450 S State St, Chicago, IL 60628]>",Address
936,10500 S Drake Ave,"10500 S Drake Ave, Chicago, IL 60655","[41.702258, -87.7101]","<[OK] Bing - Geocode [10500 S Drake Ave, Chicago, IL 60655]>",Address
664,10600 S Hale Ave,"10600 S Hale Ave, Chicago, IL 60643","[41.701310561067885, -87.66932127788428]","<[OK] Bing - Geocode [10600 S Hale Ave, Chicago, IL 60643]>",Address
2236,S Vincennes Ave And W 10600 S. Vincennes Ave,"10600 S Vincennes Ave, Chicago, IL 60643","[41.701163, -87.658739]","<[OK] Bing - Geocode [10600 S Vincennes Ave, Chicago, IL 60643]>",Address
2923,10629 S Drake Ave,"10629 S Drake Ave, Chicago, IL 60655","[41.699666, -87.709331]","<[OK] Bing - Geocode [10629 S Drake Ave, Chicago, IL 60655]>",Address
2675,10700 S Hale Ave,"10700 S Hale Ave, Chicago, IL 60643","[41.69894193019143, -87.66904869154084]","<[OK] Bing - Geocode [10700 S Hale Ave, Chicago, IL 60643]>",Address
3873,110 E Delaware Pl,"110 E Delaware Pl, Chicago, IL 60611","[41.899384, -87.625699]","<[OK] Bing - Geocode [110 E Delaware Pl, Chicago, IL 60611]>",Address
3254,1100 W Leland Ave,"1100 W Leland Ave, Chicago, IL 60640","[41.967312, -87.657969]","<[OK] Bing - Geocode [1100 W Leland Ave, Chicago, IL 60640]>",Address
1878,11450 S Homewood Ave,"11450 S Homewood Ave, Chicago, IL 60643","[41.684986, -87.670803]","<[OK] Bing - Geocode [11450 S Homewood Ave, Chicago, IL 60643]>",Address
