,all_locations,Lat_Long,How
1,S Wallace St And W 58th St,,
70,S Clark St And W 21st St,,
350,W Eddy St And N Lamon Ave,,
485,W Eddy St And W Cornelia Ave,,
774,N Claremont Ave And N Division St,,
977,N Loomis St And W Arbour Pl,,
993,S Lytle St And W Harrison St,,
1175,3900 N Orleans St,,
1202,W Ogden Ave And S Kenton Ave,,
1250,4000 N Orleans St,,
1450,N Wabash Ave And W West End Ave ,,
1471,N California Ave And W Eisenhower Expy,,
1598,S Princeton Ave And W Hollywood Ave,,
1622,S Manistee Ave And E 126th St,,
1937,S May St And W 34th Pl,,
2127,W Thorndale Ave And N Keystone Ave,,
2144,W Ardmore Ave And N Lake Shore Dr,,
2311,W Carmen Ave And N Paulina St,,
2347,W Polk St And S S Branch Chicago River,,
2432,N Octavia Ave And W Estes Ave,,
2473,W Eddy St And N Leclaire Ave,,
2571,W Eddy St And W Newport Ave,,
2882,S South Chicago Ave And S Drexel Ave,,
2933,3200 W Logan Blvd,,
2976,S Hamilton Ave And W Gladys Ave,,
3138,3714 N Orleans St,,
3211,3914 N Orleans St,,
3392,N Wabash Ave And W Fulton St,,
3558,S Manistee Ave And S Escanaba Ave,,
3674,W Polk St And S Morgan St,,
3726,W 60th St And S Hale Ave,,
4002,S Wallace St And W 57th St,,
4004,W Elm St And N Sedgwick St,,
4029,W Gunnison St And N Leamington Ave,,
4046,W Wilson Ave And N North Branch Chicago River,,
377,W 60th St And W 62nd St,,
1672,150 E 109th St,,
1152,1600 W Roosevelt Rd,,
1887,E Chicago Ave And E 38 ,,
1640,W Polk St And S Dan Ryan Expy,,
1672,200 E 109th St,,
1152,1950 W Roosevelt Rd,,
1977,S State St And W Taylor St,,
129,7859 S Emerald Ave,,
1887,E Chicago Ave And N Clark St,,
1950,N Leclaire Ave And W Alley N. Of Lawrence,,
972,N Oakley Blvd And W Adams St,,
1084,W North Ave And N Kimball Ave,,
1640,W Polk St And S Shields Ave,,
