,location_name,from,from_latln,to,to_latln,from_no_latlon,to_no_latlon
1904,150-200 E 109th St,150 E 109th St,--,200 E 109th St,--,TRUE,TRUE
2250,1525-1532 S Throop St,1525 S Throop St,"[41.86116981711107, -87.65888441355622]",1532 S Throop St,"[41.86056667436423, -87.65892209554954]",TRUE,TRUE
1346,1600-1950 W Roosevelt Rd,1600 W Roosevelt Rd,--,1950 W Roosevelt Rd,--,TRUE,TRUE
1105,2400-2144 W Bross Ave,2400 W Bross Ave,"[41.834317, -87.68549]",2144 W Bross Ave,"[41.83543365694016, -87.6811670138124]",FALSE,TRUE
1107,2600-2622 W Adams St,2600 W Adams St,--,2622 W Adams St,"[41.8786464, -87.6922394]",TRUE,FALSE
1013,3110-3200 W Logan Blvd,3110 W Logan Blvd,"[41.92886, -87.705445]",3200 W Logan Blvd,--,FALSE,TRUE
1245,3900-3714 N Orleans St,3900 N Orleans St,--,3714 N Orleans St,--,TRUE,TRUE
1322,4000-3914 N Orleans St,4000 N Orleans St,--,3914 N Orleans St,--,TRUE,TRUE
1077,5240-5600 W 63rd St,5240 W 63rd St,"[41.77853819458933, -87.75376736075859]",5600 W 63rd St,"[41.778329, -87.76204]",TRUE,FALSE
177,7503-7859 S Emerald Ave,7503 S Emerald Ave,"[41.7576024537777, -87.6429517375863]",7859 S Emerald Ave,--,FALSE,TRUE
2085,On E 95th St From S Torrence Ave To S Calhoun Ave,E 95th St And S Torrence Ave,"[41.72255115, -87.55989654999999]",E 95th St And S Calhoun Ave,"[41.72258613527178, -87.56235752194824]",FALSE,TRUE
2162,On E Chicago Ave From E 38  To N Clark St,E Chicago Ave And E 38 ,--,E Chicago Ave And N Clark St,--,TRUE,TRUE
1554,On N California Ave From W Eisenhower Expy To W Harrison St,N California Ave And W Eisenhower Expy,--,N California Ave And W Harrison St,"[41.873818, -87.696109]",TRUE,FALSE
1201,On N Central Ave From N Northwest Hwy To N Kennedy Expy Ob,N Central Ave And N Northwest Hwy,"[41.975197, -87.768486]",N Central Ave And N Kennedy Expy Ob,"[41.97374443854318, -87.7685626477969]",FALSE,TRUE
2216,On N Central Ave From N Prescott To N Hennepin,N Central Ave And N Prescott,"[41.992534, -87.765564]",N Central Ave And N Hennepin,"[41.9936583052951, -87.76791361680367]",FALSE,TRUE
