,location_name,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
13,On E 130th St From S Torrence Ave To S Brandon Ave,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave,"[41.6585765, -87.5591909]","[41.6591146948932, -87.5459318306496]",1.70316E+11,1.70316E+11
14,On S Brandon Ave From E 130th St To S Brainard Ave,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.6591146948932, -87.5459318306496]","[41.648535, -87.546007]",1.70316E+11,1.70316E+11
380,On W Albion Ave From N Sayre Ave To N Nixon Ave,W Albion Ave And N Sayre Ave,W Albion Ave And N Nixon Ave,"[42.0015351, -87.801613]","[42.0015122, -87.8041383]",1.70311E+11,"[42.0015122, -87.8041383]"
589,On S Avenue O From E 133rd St To E 135th St,S Avenue O And E 133rd St,S Avenue O And E 135th St,"[41.6536643, -87.5398392]","[41.650015, -87.539887]",1.70316E+11,1.70316E+11
651,On W 123rd St From S Carpenter St To S Peoria St,W 123rd St And S Carpenter St,W 123rd St And S Peoria St,"[41.670445, -87.647756]","[41.6705106, -87.6440745]","[41.670445, -87.647756]",1.70315E+11
923,On W Howard St From N Oconto Ave To N Odell Ave,W Howard St And N Oconto Ave,W Howard St And N Odell Ave,"[42.018934, -87.807783]","[42.018886, -87.810223]",1.70311E+11,"[42.018886, -87.810223]"
951,On W 31st St From S Wood St To S Damen Ave,W 31st St And S Wood St,W 31st St And S Damen Ave,"[41.837721, -87.670564]","[41.83764, -87.675491]",1.70318E+11,1.70318E+11
1022,7612-7760 W Touhy Ave,7612 W Touhy Ave,7760 W Touhy Ave,"[42.011703, -87.816989]","[42.011420358939176, -87.81995877508338]",1.70311E+11,"[42.011420358939176, -87.81995877508338]"
1074,340-22 E Illinois St,340 E Illinois St,22 E Illinois St,"[41.891100553886055, -87.61748692001967]","[41.8904867, -87.6274133]",1.70311E+11,1.70311E+11
1109,On S Central Park Ave From W 28th St To W 32nd St,S Central Park Ave And W 28th St,S Central Park Ave And W 32nd St,"[41.840727, -87.714694]","[41.83526, -87.71458]",1.70313E+11,1.70318E+11
1152,On S Archer Ave From S Senour Ave To S Halsted St,S Archer Ave And S Senour Ave,S Archer Ave And S Halsted St,"[41.845204, -87.650591]","[41.8472125, -87.6465235]",1.70318E+11,1.70318E+11
1158,On N Pioneer Ave From W Berteau Ave To W Irving Park Rd,N Pioneer Ave And W Berteau Ave,N Pioneer Ave And W Irving Park Rd,"[41.9558489, -87.8318321]","[41.9521744, -87.8316532]","[41.9558489, -87.8318321]","[41.9521744, -87.8316532]"
1207,On W North Ave From N Harlem Ave To N Sayre Ave,W North Ave And N Harlem Ave,W North Ave And N Sayre Ave,"[41.9088, -87.805845]","[41.909025, -87.800203]","[41.9088, -87.805845]",1.70313E+11
1312,2400-3140 S Kedzie Ave,2400 S Kedzie Ave,3140 S Kedzie Ave,"[41.847935, -87.70549]","[41.83581015388985, -87.7048210135158]",1.70313E+11,1.70318E+11
1332,2723-3100 S Archer Ave,2723 S Archer Ave,3100 S Archer Ave,"[41.843964, -87.652559]","[41.83762047488891, -87.66599581207548]",1.70318E+11,1.70318E+11
1346,3200-3236 S Lawndale Ave,3200 S Lawndale Ave,3236 S Lawndale Ave,"[41.83505, -87.717328]","[41.834076, -87.717214]",1.70318E+11,1.70318E+11
1359,On S Archer Ave From S Corbett St To S Halsted St,S Archer Ave And S Corbett St,S Archer Ave And S Halsted St,"[41.845864, -87.649163]","[41.8472125, -87.6465235]",1.70318E+11,1.70318E+11
1398,On S Archer Ave From S Ashland Ave To S Poplar Ave,S Archer Ave And S Ashland Ave,S Archer Ave And S Poplar Ave,"[41.837762, -87.665687]","[41.844338, -87.652341]",1.70318E+11,1.70318E+11
1476,On W 77th St From S Wallace St To S Fielding Ave,W 77th St And S Wallace St,W 77th St And S Fielding Ave,"[41.754349, -87.639858]","[41.75436, -87.6377307]",1.70317E+11,1.70317E+11
1613,On S Rockwell St From W 70th St To W 71st St,S Rockwell St And W 70th St,S Rockwell St And W 71st St,"[41.766445, -87.688205]","[41.764616, -87.688148]",1.70317E+11,1.70317E+11
1627,On S Albany Ave From W 71st St To W 73rd St,S Albany Ave And W 71st St,S Albany Ave And W 73rd St,"[41.764419, -87.700374]","[41.7607749, -87.7002706]",1.70317E+11,1.70317E+11
1696,On S Escanaba Ave From E 127th St To E 128th St,S Escanaba Ave And E 127th St,S Escanaba Ave And E 128th St,"[41.664705, -87.552501]","[41.66284, -87.553214]",1.70318E+11,1.70316E+11
1698,On S Troy St From W 71st St To W 73rd St,S Troy St And W 71st St,S Troy St And W 73rd St,"[41.764402, -87.701601]","[41.7607429, -87.7015152]",1.70317E+11,1.70317E+11
1859,On E 67th St From S Paxton Ave To S Crandon Ave,E 67th St And S Paxton Ave,E 67th St And S Crandon Ave,"[41.773515, -87.571604]","[41.773535, -87.569984]",1.70318E+11,1.70318E+11
1860,On S Paxton Ave From E 69th St To E 67th St,S Paxton Ave And E 69th St,S Paxton Ave And E 67th St,"[41.76989, -87.57152]","[41.773515, -87.571604]",1.70314E+11,1.70318E+11
1861,On E 67th St From S Paxton Ave To S Merrill Ave,E 67th St And S Paxton Ave,E 67th St And S Merrill Ave,"[41.773515, -87.571604]","[41.773498, -87.572821]",1.70318E+11,1.70318E+11
1896,On S Muskegon Ave From E 130th St To E 131st St,S Muskegon Ave And E 130th St,S Muskegon Ave And E 131st St,"[41.659179, -87.554423]","[41.657366, -87.554433]",1.70316E+11,1.70316E+11
1959,On E 131st St From S Exchange Ave To S Marquette Ave,E 131st St And S Exchange Ave,E 131st St And S Marquette Ave,"[41.657371, -87.551988]","[41.657377, -87.556863]",1.70316E+11,1.70316E+11
2143,On N Halsted St From W Evergreen Ave To N 1534,N Halsted St And W Evergreen Ave,1534 N Halsted St,"[41.906417, -87.64814]","[41.909713, -87.64836]",1.70318E+11,1.70318E+11
2151,On N Cumberland Ave From W Lawrence Ave To W Sunnyside Ave,N Cumberland Ave And W Lawrence Ave,N Cumberland Ave And W Sunnyside Ave,"[41.9666233, -87.8366769]","[41.961603, -87.836735]","[41.9666233, -87.8366769]",1.70318E+11
2204,On W Lithuanian Plaza Ct From S California Ave To S Oakley Ave,W Lithuanian Plaza Ct And S California Ave,W Lithuanian Plaza Ct And S Oakley Ave,"[41.768194, -87.693124]","[41.768377386601585, -87.68086908676567]",1.70317E+11,1.70317E+11
2217,2226-2545 S Ashland Ave,2226 S Ashland Ave,2545 S Ashland Ave,"[41.851325, -87.666304]","[41.845669, -87.665254]",1.70318E+11,1.70318E+11
