,project_number,location_name,year_range,from,to
1,[170 -04] 37896,On S Wallace St From W 58th St To W 59th St,2014-2018,S Wallace St And W 58th St,S Wallace St And W 59th St
2,[170 -04] 37896,On W Balmoral Ave From N California Ave To N North Shore Channel,2014-2018,W Balmoral Ave And N California Ave,W Balmoral Ave And N North Shore Channel
14,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2016-2020,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave
15,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2016-2020,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave
18,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,2016-2020,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave
66,[170 -02] 37794,On S St Louis Ave From W 75th St To W 76th St,2016-2020,S St Louis Ave And W 75th St,S St Louis Ave And W 76th St
73,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave,2016-2020,S Clark St And W 21st St,S Clark St And S Archer Ave
101,[170 -02] 37794,On W Carmen Ave From N Ravenswood Ave To N Paulina St,2016-2020,W Carmen Ave And N Ravenswood Ave,W Carmen Ave And N Paulina St
110,[170 -02] 37794,On S St Louis Ave From W 77th St To W 78th St,2016-2020,S St Louis Ave And W 77th St,S St Louis Ave And W 78th St
123,[170 -02] 37794,On N Washtenaw Ave From W Argyle St To W Winnemac Ave,2016-2020,N Washtenaw Ave And W Argyle St,N Washtenaw Ave And W Winnemac Ave
195,[170 -02] 37887,On W Polk St From S Wells St To S S Branch Chicago River,2016-2020,W Polk St And S Wells St,W Polk St And S S Branch Chicago River
218,[170 -02] 38787,On W Jarvis Ave From N Oriole Ave To N Ottawa Ave,2016-2020,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Ottawa Ave
280,[170 -02] 38801,On N Kimball Ave From W Peterson Ave To W Granville Ave,2016-2020,N Kimball Ave And W Peterson Ave,N Kimball Ave And W Granville Ave
283,[170 -02] 38801,On W Peterson Ave From N North Shore Channel To N Kedvale Ave,2016-2020,W Peterson Ave And N North Shore Channel,W Peterson Ave And N Kedvale Ave
