,location_name,from,from_lat_long,to,to_lat_long,Status
1672,150-200 E 109th St,150 E 109th St,"[41.69627056975157, -87.62282250384179]",200 E 109th St,"[41.6940017, -87.5993933]",Both Bad
1970,1525-1532 S Throop St,1525 S Throop St,"[41.86138027140655, -87.6589163046786]",1532 S Throop St,"[41.85370862482409, -87.65880621514992]",Both Bad
1152,1600-1950 W Roosevelt Rd,1600 W Roosevelt Rd,"[41.8636517, -87.6615283]",1950 W Roosevelt Rd,"[41.867318, -87.674987]",Both Bad
796,2000-2344 W Kinzie St,2000 W Kinzie St,"[41.888733, -87.677305]",2344 W Kinzie St,"[41.8886211002893, -87.68564540092879]",All Good
2020,2221-2545 S Ashland Ave,2221 S Ashland Ave,"[41.851778, -87.665808]",2545 S Ashland Ave,"[41.845669, -87.665254]",All Good
1969,2226-2545 S Ashland Ave,2226 S Ashland Ave,"[41.851325, -87.666304]",2545 S Ashland Ave,"[41.845669, -87.665254]",All Good
1162,2316-2700 W Roosevelt Rd,2316 W Roosevelt Rd,"[41.866923, -87.684269]",2700 W Roosevelt Rd,"[41.867359, -87.6944]",All Good
1138,2400-3140 S Kedzie Ave,2400 S Kedzie Ave,"[41.847935, -87.70549]",3140 S Kedzie Ave,"[41.83581015388985, -87.7048210135158]",All Good
917,2400-2144 W Bross Ave,2400 W Bross Ave,"[41.834317, -87.68549]",2144 W Bross Ave,"[41.895900853280516, -87.68132965618157]",To Bad
880,On W Adams St From W 2600 To W 2622,2600 W Adams St,"[41.878363307324264, -87.70043297097116]",2622 W Adams St,"[41.8786464, -87.6922394]",From Bad
1159,2723-3100 S Archer Ave,2723 S Archer Ave,"[41.843964, -87.652559]",3100 S Archer Ave,"[41.83762047488891, -87.66599581207548]",All Good
822,3110-3900 S Ashland Ave,3110 S Ashland Ave,"[41.83592480294399, -87.66581251598492]",3900 S Ashland Ave,"[41.822585, -87.666444]",All Good
901,340-22 E Illinois St,340 E Illinois St,"[41.891100553886055, -87.61748692001967]",22 E Illinois St,"[41.8904867, -87.6274133]",All Good
828,340-0 W Illinois St,340 W Illinois St,"[41.89080618849169, -87.63724668775484]",W Illinois St And State St,"[41.890882, -87.628025]",All Good
1156,3600-3940 N Pioneer Ave,3600 N Pioneer Ave,"[41.945031956708576, -87.83156713194157]",3940 N Pioneer Ave,"[41.9515535, -87.8319408]",All Good
812,3615-3941 N Cumberland Ave,3615 N Cumberland Ave,"[41.945339, -87.836062]",3941 N Cumberland Ave,"[41.951475, -87.836293]",All Good
1857,On N Keating Ave From N 4700 To N 4647,4700 N Keating Ave,"[41.973467632300256, -87.74697507738549]",4647 N Keating Ave,"[41.965802, -87.746093]",From Bad
1628,4700-5300 S Damen Ave,4700 S Damen Ave,"[41.808391897644064, -87.67473880650923]",5300 S Damen Ave,"[41.797433, -87.674815]",All Good
1140,4700-5440 S Morgan St,4700 S Morgan St,"[41.80779089709728, -87.65040426149247]",5440 S Morgan St,"[41.794852, -87.650382]",All Good
810,4863-5500 N Ashland Ave,4863 N Ashland Ave,"[41.970733, -87.669122]",5500 N Ashland Ave,"[41.982101, -87.670163]",All Good
889,5240-5600 W 63rd St,5240 W 63rd St,"[41.7796317, -87.75363]",5600 W 63rd St,"[41.778329, -87.76204]",From Bad
815,5300-5500 N Milwaukee Ave,5300 N Milwaukee Ave,"[41.9764521, -87.7682148]",5500 N Milwaukee Ave,"[41.9815546, -87.7735327]",All Good
2021,5516-5900 S Aberdeen St,5516 S Aberdeen St,"[41.793254, -87.652778]",5900 S Aberdeen St,"[41.78647967570422, -87.65233604800382]",All Good
795,5700-6342 W Grace St,5700 W Grace St,"[41.949759, -87.769516]",6342 W Grace St,"[41.949566, -87.785718]",All Good
814,6075-6374 N Lincoln Ave,6075 N Lincoln Ave,"[41.992899, -87.711023]",6374 N Lincoln Ave,"[41.996996, -87.718652]",All Good
1977,On S State St From W 725 To W Taylor St,725 S State St,"[41.872262, -87.627193]",S State St And W Taylor St,"[41.831029, -87.626539]",To Bad
1170,7400-7749 W Forest Preserve Ave,7400 W Forest Preserve Ave,"[41.95166446495063, -87.81206716140765]",7749 W Forest Preserve Ave,"[41.946547, -87.821408]",All Good
129,7503-7859 S Emerald Ave,7503 S Emerald Ave,"[41.7576024537777, -87.6429517375863]",7859 S Emerald Ave,"[41.7489633, -87.64263]",To Bad
257,On E 104th St From S Avenue O To S Avenue E,E 104th St And S Avenue O,"[41.706372, -87.540135]",E 104th St And S Avenue E,"[41.70638, -87.529201]",All Good
1657,On E 107th St From S Avenue O To S State Line Rd,E 107th St And S Avenue O,"[41.70094, -87.540083]",E 107th St And S State Line Rd,"[41.70085, -87.524538]",All Good
227,On E 110th St From S Avenue L To S State Line Rd,E 110th St And S Avenue L,"[41.695481, -87.536465]",E 110th St And S State Line Rd,"[41.695418, -87.524625]",All Good
229,On E 110th St From S Avenue O To S Avenue B,E 110th St And S Avenue O,"[41.695493, -87.540106]",E 110th St And S Avenue B,"[41.695429, -87.525812]",All Good
417,On E 80th St From S Evans Ave To S Vernon Ave,E 80th St And S Evans Ave,"[41.749415, -87.606412]",E 80th St And S Vernon Ave,"[41.749307, -87.613657]",All Good
270,On E 81st St From S Vernon Ave To S Evans Ave,E 81st St And S Vernon Ave,"[41.7474205, -87.6136365]",E 81st St And S Evans Ave,"[41.7476564, -87.6063498]",All Good
1238,On E 83rd St From S State St To S Dr Martin Luther King Jr Dr,E 83rd St And S State St,"[41.743727, -87.624366]",E 83rd St And S Dr Martin Luther King Jr Dr,"[41.743813, -87.614757]",All Good
431,On E 85th St From S Indiana Ave To S St Lawrence Ave,E 85th St And S Indiana Ave,"[41.7400879, -87.6195382]",E 85th St And S St Lawrence Ave,"[41.7402392, -87.6097909]",All Good
410,On E 94th St From S Dr Martin Luther King Jr Dr To S Wabash Ave,E 94th St And S Dr Martin Luther King Jr Dr,"[41.723716, -87.614201]",E 94th St And S Wabash Ave,"[41.723573, -87.62227]",All Good
259,On E 96th St From S Houston Ave To S Marquette Ave,E 96th St And S Houston Ave,"[41.720949, -87.549677]",E 96th St And S Marquette Ave,"[41.720853, -87.55798]",All Good
1887,On E Chicago Ave From E 38  To N Clark St,E Chicago Ave And E 38 ,"[41.8969151, -87.6265341]",E Chicago Ave And N Clark St,"[42.019424, -87.676265]",Both Bad
652,On N Ada St From N Ogden Ave To W Madison St,N Ada St And N Ogden Ave,"[41.888011, -87.6610115]",N Ada St And W Madison St,"[41.8815137, -87.6605694]",All Good
966,On N Central Ave From N Elston Ave To W Foster Ave,N Central Ave And N Elston Ave,"[41.9850181, -87.7683136]",N Central Ave And W Foster Ave,"[41.975686, -87.76848]",All Good
1012,On N Central Ave From N Northwest Hwy To N Kennedy Expy Ob,N Central Ave And N Northwest Hwy,"[41.975197, -87.768486]",N Central Ave And N Kennedy Expy Ob,"[41.9439845, -87.7173535]",To Bad
553,On N Central Ave From W Berteau Ave To W Sunnyside Ave,N Central Ave And W Berteau Ave,"[41.9568465, -87.7670961]",N Central Ave And W Sunnyside Ave,"[41.962368, -87.767271]",All Good
554,On N Central Ave From W Berteau Ave To W Wilson Ave,N Central Ave And W Berteau Ave,"[41.9568465, -87.7670961]",N Central Ave And W Wilson Ave,"[41.964583, -87.767348]",All Good
1895,On N Central Park Ave From W Diversey Ave To W Fullerton Ave,N Central Park Ave And W Diversey Ave,"[41.931932, -87.717187]",N Central Park Ave And W Fullerton Ave,"[41.924663, -87.716992]",All Good
