location_name,blockgroup_id,distance
On S Vincennes Ave From W 103rd St To W 10600 S. Vincennes Ave,'170317207002',0.664525559
On W Balmoral Ave From N California Ave To N North Shore Channel,'170310403001',0.455268124
On W Belden Ave From N Kenneth Ave To N Kostner Ave,'170312003002',0.099205642
6434-6534 W 60th St,'170316404001',0.136313683
244-300 W 60th Pl,'170318346003',0.069859922
7632-7728 W Touhy Ave,'170310901003',0.221145833
2644-2924 E 128th St,'170315502001',0.340018147
On W 39th Pl From W 2800 To W 2708,'170315805014',0.01525001
On W 39th Pl From W 2800 To W 2708,'170315806001',0.156703325
834-870 E 88th Pl,'170314408001',0.094702232
500-520 W 45th Pl,'170316108001',0.055429517
On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,'170310404021',0.307096471
On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,'170310404025',0.502570877
On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,'170310401001',0.203879499
On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,'170318308001',0.002936572
On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,'170310401002',0.202421033
On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,'170310309004',0.000963669
On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,'170310401001',0.165277622
On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,'170310401002',0.001188717
On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,'170310404021',0.001665145
On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,'170310404025',0.502586212
On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,'170318308001',0.002936567
On E 77th St From S Blackstone Ave To S Dante Ave,'170318342004',0.101286953
On S Blackstone Ave From E 76th St To E 77th St,'170318342004',0.198975059
On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,'170311502002',0.31768164
On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,'170311502004',0.493115029
On N Claremont Ave From W Eastwood Ave To W Wilson Ave,'170310406003',0.001204408
On N Claremont Ave From W Eastwood Ave To W Wilson Ave,'170310406002',0.094090676
On W Leland Ave From N Lincoln Ave To N Leavitt St,'170310406003',0.281296642
On W Lawrence Ave From N Oakley Ave To N Leavitt St,'170310406003',0.086804098
On W Lawrence Ave From N Oakley Ave To N Leavitt St,'170310404014',0.115206448
On E 69th St From S Langley Ave To S St Lawrence Ave,'170314212002',0.1922156
On S Langley Ave From E 68th St To E 67th St,'170314212002',0.00122105
On S Langley Ave From E 68th St To E 67th St,'170314212001',0.199833071
On E 101st St From S Avenue N To S Ewing Ave,'170315202002',0.100976129
On E 101st St From S Avenue N To S Ewing Ave,'170315202003',0.200922173
On E 99th St From S Ewing Ave To S Avenue J,'170315202003',0.000332374
On E 99th St From S Ewing Ave To S Avenue J,'170315201001',0.103950058
On E 100th St From S Avenue N To S Ewing Ave,'170315202003',0.302704004
On W 106th St From S Lowe Ave To S Wallace St,'170314911005',0.099574487
On W 109th St From S Ashland Ave To S Vincennes Ave,'170317501003',0.095367715
On W 47th St From S Paulina St To S Honore St,'170316104001',0.200492153
On W 47th St From S Paulina St To S Honore St,'170316103003',0.102462986
On W 52nd St From S Francisco Ave To S Richmond St,'170316304001',0.101323847
On W 52nd St From S Richmond St To S Sacramento Ave,'170316304001',0.100887932
On W 52nd St From S Richmond St To S Sacramento Ave,'170316304004',0.000270203
On W 53rd St From S Richmond St To S Kedzie Ave,'170316304004',0.060601793
On W 53rd St From S Richmond St To S Kedzie Ave,'170316304003',0.343422128
On W 53rd St From S Richmond St To S Kedzie Ave,'170316304001',0.100997305
On W 58th St From S Halsted St To S Carpenter St,'170316805002',0.09754201
On W 58th St From S Halsted St To S Carpenter St,'170318347001',0.200908767
On W 58th St From S Halsted St To S Carpenter St,'170318347002',0.201795568
On W 66th St From S Pulaski Rd To S Hamlin Ave,'170316503022',0.40175819
On W 77th St From S Ashland Ave To S Laflin St,'170317103001',0.127920073
On W 78th Pl From S Kedvale Ave To S Keeler Ave,'170317002004',0.1150519
On W 81st St From S Kenneth Ave To S Kolmar Ave,'170317003013',0.208160509
On S Union Ave From W 106th St To W 105th St,'170314911005',0.144342774
On W Addison St From N Elston Ave To N Spaulding Ave,'170311608002',0.08388506
On W Arthington St From S Karlov Ave To S Keeler Ave,'170312610002',0.201763313
On W Barry Ave From N Drake Ave To N Gresham Ave,'170312106013',0.260760226
On W Carmen Ave From N Central Park Ave To N Drake Ave,'170318318005',0.119201892
On W Chase Ave From N Paulina St To N Clark St,'170310102022',0.201799455
On W Lexington St From S Kilbourn Ave To S Kolmar Ave,'170312610001',0.095724877
On W Palatine Ave From N Natoma Ave To N Newcastle Ave,'170311002002',0.263777816
On W Palatine Ave From N Natoma Ave To N Newcastle Ave,'170311002007',0.130971183
