,Unnamed: 0,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
0,0,[170 -04] 37896,On S Vincennes Ave From W 103rd St To W 10600 S. Vincennes Ave,2014-2018,S Vincennes Ave And W 103rd St,S Vincennes Ave And W 10600 S. Vincennes Ave,"[41.7067852, -87.6560249]","[41.701163, -87.658739]",170317207002,170317207002
1,1,[170 -04] 37896,On S Wallace St From W 58th St To W 59th St,2014-2018,S Wallace St And W 58th St,S Wallace St And W 59th St,"[41.6752054000047, -87.6370201495643]","[41.7871295, -87.6401719]",170315305012,170318347003
2,2,[170 -04] 37896,On W Balmoral Ave From N California Ave To N North Shore Channel,2014-2018,W Balmoral Ave And N California Ave,W Balmoral Ave And N North Shore Channel,"[41.97947, -87.699049]","[41.9780840974162, -87.8346059937195]",170310403001,170311005005
3,3,[170 -04] 37896,On W Belden Ave From N Kenneth Ave To N Kostner Ave,2014-2018,W Belden Ave And N Kenneth Ave,W Belden Ave And N Kostner Ave,"[41.922537, -87.737696]","[41.9225564, -87.7364972]",170312003002,170312003002
4,4,[170 -02] 38791,6434-6534 W 60th St,2016-2020,6434 W 60th St,6534 W 60th St,"[41.783456, -87.782866]","[41.7831607994285, -87.78446164282114]",170316404001,170316404001
5,5,[170 -02] 37793,S Paulina St And W 88th St,2015-2019,S Paulina St And W 88th St,None,"[41.733966, -87.665428]",None,170317113001,None
6,6,[170 -02] 37794,244-300 W 60th Pl,2015-2019,244 W 60th Pl,300 W 60th Pl,"[41.7847813, -87.6321272]","[41.784566703698765, -87.63291909295857]",170318346003,170318346003
7,7,[170 -04] 37898,7632-7728 W Touhy Ave,2016-2020,7632 W Touhy Ave,7728 W Touhy Ave,"[42.0114704457201, -87.81723383341145]","[42.011978, -87.8198219]",170310901003,170310901003
8,8,[170 -02] 38802,2644-2924 E 128th St,2016-2020,2644 E 128th St,2924 E 128th St,"[41.66305, -87.557603]","[41.662885220917005, -87.55351580925759]",170315502001,170315502001
9,9,[170 -04] 37898,On W 39th Pl From W 2800 To W 2708,2017-2021,2800 W 39th Pl,2708 W 39th Pl,"[41.822132, -87.694822]","[41.822116, -87.692747]",170315805014,170315806001
10,10,[170 -04] 38342,834-870 E 88th Pl,2018-2022,834 E 88th Pl,870 E 88th Pl,"[41.734148, -87.603224]","[41.73399457732844, -87.60210138426473]",170314408001,170314408001
11,11,[170 -04] 39029,S Lawndale Ave And W 32nd St,2018-2022,S Lawndale Ave And W 32nd St,None,"[41.835178, -87.716994]",None,170318305003,None
12,12,[170 -02] 37719,500-520 W 45th Pl,2014-2018,500 W 45th Pl,520 W 45th Pl,"[41.8118937, -87.6385183]","[41.811865, -87.639186]",170316108001,170316108001
