,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long
0,[170 -04] 37896,On S Vincennes Ave From W 103rd St To W 10600 S. Vincennes Ave,2014-2018,S Vincennes Ave And W 103rd St,S Vincennes Ave And W 10600 S. Vincennes Ave,"[41.7067852, -87.6560249]","[41.701163, -87.658739]"
1,[170 -04] 37896,On S Wallace St From W 58th St To W 59th St,2014-2018,S Wallace St And W 58th St,S Wallace St And W 59th St,"[41.6752054000047, -87.6370201495643]","[41.7871295, -87.6401719]"
2,[170 -04] 37896,On W Balmoral Ave From N California Ave To N North Shore Channel,2014-2018,W Balmoral Ave And N California Ave,W Balmoral Ave And N North Shore Channel,"[41.97947, -87.699049]","[41.9780840974162, -87.8346059937195]"
3,[170 -04] 37896,On W Belden Ave From N Kenneth Ave To N Kostner Ave,2014-2018,W Belden Ave And N Kenneth Ave,W Belden Ave And N Kostner Ave,"[41.922537, -87.737696]","[41.9225564, -87.7364972]"
4,[170 -02] 38791,6434-6534 W 60th St,2016-2020,6434 W 60th St,6534 W 60th St,"[41.783456, -87.782866]","[41.7831607994285, -87.78446164282114]"
5,[170 -02] 37793,S Paulina St And W 88th St,2015-2019,S Paulina St And W 88th St,,"[41.733966, -87.665428]",
6,[170 -02] 37794,244-300 W 60th Pl,2015-2019,244 W 60th Pl,300 W 60th Pl,"[41.7847813, -87.6321272]","[41.784566703698765, -87.63291909295857]"
7,[170 -04] 37898,7632-7728 W Touhy Ave,2016-2020,7632 W Touhy Ave,7728 W Touhy Ave,"[42.0114704457201, -87.81723383341145]","[42.011978, -87.8198219]"
8,[170 -02] 38802,2644-2924 E 128th St,2016-2020,2644 E 128th St,2924 E 128th St,"[41.66305, -87.557603]","[41.662885220917005, -87.55351580925759]"
9,[170 -04] 37898,On W 39th Pl From W 2800 To W 2708,2017-2021,2800 W 39th Pl,2708 W 39th Pl,"[41.822132, -87.694822]","[41.822116, -87.692747]"
10,[170 -04] 38342,834-870 E 88th Pl,2018-2022,834 E 88th Pl,870 E 88th Pl,"[41.734148, -87.603224]","[41.73399457732844, -87.60210138426473]"
11,[170 -04] 39029,S Lawndale Ave And W 32nd St,2018-2022,S Lawndale Ave And W 32nd St,,"[41.835178, -87.716994]",
12,[170 -02] 37719,500-520 W 45th Pl,2014-2018,500 W 45th Pl,520 W 45th Pl,"[41.8118937, -87.6385183]","[41.811865, -87.639186]"
13,[170 -02] 38784,S Aberdeen St And W 107th St,2014-2018,S Aberdeen St And W 107th St,,"[41.699563, -87.64991]",
14,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2016-2020,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave,"[41.6585765, -87.5591909]","[41.658976137741, -87.5631430490206]"
15,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2016-2020,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]"
16,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,2016-2020,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Balmoral Ave,"[41.9688297, -87.6762187]","[41.979728, -87.676518]"
17,[170 -02] 32926,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,2016-2020,W Foster Ave And N Wolcott Ave,W Foster Ave And N Ravenswood Ave,"[41.9760901, -87.6764218]","[41.9761161, -87.6743967]"
18,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,2016-2020,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave,"[41.9688297, -87.6762187]","[42.0193747, -87.6776559500011]"
19,[170 -02] 32989,On E 77th St From S Blackstone Ave To S Dante Ave,2016-2020,E 77th St And S Blackstone Ave,E 77th St And S Dante Ave,"[41.7551191, -87.58828]","[41.7550853, -87.5895002]"
20,[170 -02] 32989,On S Blackstone Ave From E 76th St To E 77th St,2016-2020,S Blackstone Ave And E 76th St,S Blackstone Ave And E 77th St,"[41.756908, -87.588338]","[41.7551191, -87.58828]"
21,[170 -02] 33346,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,2016-2020,N Lavergne Ave And W Lawrence Ave,N Lavergne Ave And W Montrose Ave,"[41.9679628, -87.7526526]","[41.960674, -87.752378]"
22,[170 -02] 33346,N Cicero Ave And W Lawrence Ave,2016-2020,N Cicero Ave And W Lawrence Ave,,"[41.968033, -87.7477398]",
23,[170 -02] 33467,On N Claremont Ave From W Eastwood Ave To W Wilson Ave,2016-2020,N Claremont Ave And W Eastwood Ave,N Claremont Ave And W Wilson Ave,"[41.965767, -87.687537]","[41.96491, -87.687542]"
24,[170 -02] 33467,On W Leland Ave From N Lincoln Ave To N Leavitt St,2016-2020,W Leland Ave And N Lincoln Ave,W Leland Ave And N Leavitt St,"[41.9668515, -87.6873947]","[41.9668657, -87.6839924]"
25,[170 -02] 33467,On W Lawrence Ave From N Oakley Ave To N Leavitt St,2016-2020,W Lawrence Ave And N Oakley Ave,W Lawrence Ave And N Leavitt St,"[41.9686202, -87.686456]","[41.9686617, -87.6840145]"
26,[170 -02] 35683,On E 69th St From S Langley Ave To S St Lawrence Ave,2016-2020,E 69th St And S Langley Ave,E 69th St And S St Lawrence Ave,"[41.7694538, -87.6081473]","[41.76937890000001, -87.61046285]"
