,all_locations,location_object,lat_long,quality,api_address
0,S Vincennes Ave And W 103rd St,"<[OK] Bing - Geocode [S Vincennes Ave & W 103rd St, Chicago, IL 60643]>","[41.7067852, -87.6560249]",RoadIntersection,"S Vincennes Ave & W 103rd St, Chicago, IL 60643"
1,S Wallace St And W 58th St,"<[OK] Bing - Geocode [S Wallace St, Chicago, IL 60628]>","[41.6912795000008, -87.6375057998555]",RoadBlock,"S Wallace St, Chicago, IL 60628"
2,W Balmoral Ave And N California Ave,"<[OK] Bing - Geocode [W Balmoral Ave & N California Ave, Chicago, IL 60625]>","[41.97947, -87.699049]",RoadIntersection,"W Balmoral Ave & N California Ave, Chicago, IL 60625"
3,W Belden Ave And N Kenneth Ave,"<[OK] Bing - Geocode [W Belden St & N Kenneth Ave, Chicago, IL 60639]>","[41.922537, -87.737696]",RoadIntersection,"W Belden St & N Kenneth Ave, Chicago, IL 60639"
4,6434 W 60th St,"<[OK] Bing - Geocode [6434 W 60th St, Chicago, IL 60638]>","[41.783456, -87.782866]",Address,"6434 W 60th St, Chicago, IL 60638"
5,S Paulina St And W 88th St,"<[OK] Bing - Geocode [S Paulina St & W 88th St, Chicago, IL 60620]>","[41.733966, -87.665428]",RoadIntersection,"S Paulina St & W 88th St, Chicago, IL 60620"
6,244 W 60th Pl,"<[OK] Bing - Geocode [244 W 60th Pl, Chicago, IL 60621]>","[41.7847813, -87.6321272]",Address,"244 W 60th Pl, Chicago, IL 60621"
7,7632 W Touhy Ave,"<[OK] Bing - Geocode [7632 W Touhy Ave, Chicago, IL 60631]>","[42.0114704457201, -87.81723383341145]",Address,"7632 W Touhy Ave, Chicago, IL 60631"
8,2644 E 128th St,"<[OK] Bing - Geocode [2644 E 128th St, Chicago, IL 60633]>","[41.66305, -87.557603]",Address,"2644 E 128th St, Chicago, IL 60633"
9,2800 W 39th Pl,"<[OK] Bing - Geocode [2800 W 39th Pl, Chicago, IL 60632]>","[41.822132, -87.694822]",Address,"2800 W 39th Pl, Chicago, IL 60632"
10,834 E 88th Pl,"<[OK] Bing - Geocode [834 E 88th Pl, Chicago, IL 60619]>","[41.734148, -87.603224]",Address,"834 E 88th Pl, Chicago, IL 60619"
11,S Lawndale Ave And W 32nd St,"<[OK] Bing - Geocode [S Lawndale Ave & W 32nd St, Chicago, IL 60623]>","[41.835178, -87.716994]",RoadIntersection,"S Lawndale Ave & W 32nd St, Chicago, IL 60623"
12,500 W 45th Pl,"<[OK] Bing - Geocode [500 W 45th Pl, Chicago, IL 60609]>","[41.8118937, -87.6385183]",Address,"500 W 45th Pl, Chicago, IL 60609"
13,S Aberdeen St And W 107th St,"<[OK] Bing - Geocode [S Aberdeen St & W 107th St, Chicago, IL 60643]>","[41.699563, -87.64991]",RoadIntersection,"S Aberdeen St & W 107th St, Chicago, IL 60643"
14,E 130th St And S Torrence Ave,"<[OK] Bing - Geocode [E 130th St & S Torrence Ave, Chicago, IL 60633]>","[41.6585765, -87.5591909]",RoadIntersection,"E 130th St & S Torrence Ave, Chicago, IL 60633"
15,S Brandon Ave And E 130th St,"<[OK] Bing - Geocode [S Brandon Ave, Chicago, IL 60617]>","[41.7492661500018, -87.5467837497093]",RoadBlock,"S Brandon Ave, Chicago, IL 60617"
16,N Wolcott Ave And W Lawrence Ave,"<[OK] Bing - Geocode [N Wolcott Ave & W Lawrence Ave, Chicago, IL 60640]>","[41.9687684, -87.6762189]",RoadIntersection,"N Wolcott Ave & W Lawrence Ave, Chicago, IL 60640"
17,W Foster Ave And N Wolcott Ave,"<[OK] Bing - Geocode [W Foster Ave & N Wolcott Ave, Chicago, IL 60640]>","[41.9760901, -87.6764218]",RoadIntersection,"W Foster Ave & N Wolcott Ave, Chicago, IL 60640"
18,E 77th St And S Blackstone Ave,"<[OK] Bing - Geocode [E 77th St & S Blackstone Ave, Chicago, IL 60619]>","[41.7551191, -87.58828]",RoadIntersection,"E 77th St & S Blackstone Ave, Chicago, IL 60619"
19,S Blackstone Ave And E 76th St,"<[OK] Bing - Geocode [S Blackstone Ave & E 76th St, Chicago, IL 60619]>","[41.756908, -87.588338]",RoadIntersection,"S Blackstone Ave & E 76th St, Chicago, IL 60619"
20,N Lavergne Ave And W Lawrence Ave,"<[OK] Bing - Geocode [N Lavergne Ave & W Lawrence Ave, Chicago, IL 60630]>","[41.9679628, -87.7526526]",RoadIntersection,"N Lavergne Ave & W Lawrence Ave, Chicago, IL 60630"
21,N Cicero Ave And W Lawrence Ave,"<[OK] Bing - Geocode [N Cicero Ave & W Lawrence Ave, Chicago, IL 60630]>","[41.9680293, -87.7476329]",RoadIntersection,"N Cicero Ave & W Lawrence Ave, Chicago, IL 60630"
22,N Claremont Ave And W Eastwood Ave,"<[OK] Bing - Geocode [N Claremont Ave & W Eastwood Ave, Chicago, IL 60625]>","[41.965767, -87.687537]",RoadIntersection,"N Claremont Ave & W Eastwood Ave, Chicago, IL 60625"
23,W Leland Ave And N Lincoln Ave,"<[OK] Bing - Geocode [W Leland Ave & N Lincoln Ave, Chicago, IL 60625]>","[41.9668515, -87.6873947]",RoadIntersection,"W Leland Ave & N Lincoln Ave, Chicago, IL 60625"
24,W Lawrence Ave And N Oakley Ave,"<[OK] Bing - Geocode [W Lawrence Ave & N Oakley Ave, Chicago, IL 60625]>","[41.9686202, -87.686456]",RoadIntersection,"W Lawrence Ave & N Oakley Ave, Chicago, IL 60625"
25,E 69th St And S Langley Ave,"<[OK] Bing - Geocode [E 69th St & S Langley Ave, Chicago, IL 60637]>","[41.7694538, -87.6081473]",RoadIntersection,"E 69th St & S Langley Ave, Chicago, IL 60637"
26,S Langley Ave And E 68th St,"<[OK] Bing - Geocode [S Langley Ave & E 68th St, Chicago, IL 60637]>","[41.77127, -87.608168]",RoadIntersection,"S Langley Ave & E 68th St, Chicago, IL 60637"
27,E 101st St And S Avenue N,"<[OK] Bing - Geocode [E 101st St & S Avenue N, Chicago, IL 60617]>","[41.711957, -87.53892]",RoadIntersection,"E 101st St & S Avenue N, Chicago, IL 60617"
28,S Avenue J And E 99th St,"<[OK] Bing - Geocode [S Avenue J & E 99th St, Chicago, IL 60617]>","[41.715841, -87.534026]",RoadIntersection,"S Avenue J & E 99th St, Chicago, IL 60617"
29,E 99th St And S Ewing Ave,"<[OK] Bing - Geocode [E 99th St & S Ewing Ave, Chicago, IL 60617]>","[41.715797, -87.535281]",RoadIntersection,"E 99th St & S Ewing Ave, Chicago, IL 60617"
30,E 100th St And S Avenue N,"<[OK] Bing - Geocode [E 100th St & S Avenue N, Chicago, IL 60617]>","[41.713861, -87.538895]",RoadIntersection,"E 100th St & S Avenue N, Chicago, IL 60617"
31,W 106th St And S Lowe Ave,"<[OK] Bing - Geocode [W 106th St & S Lowe Ave, Chicago, IL 60628]>","[41.701496, -87.639021]",RoadIntersection,"W 106th St & S Lowe Ave, Chicago, IL 60628"
32,W 109th St And S Ashland Ave,"<[OK] Bing - Geocode [W 109th St & S Ashland Ave, Chicago, IL 60643]>","[41.6957833, -87.6619343]",RoadIntersection,"W 109th St & S Ashland Ave, Chicago, IL 60643"
33,W 47th St And S Paulina St,"<[OK] Bing - Geocode [W 47th St & S Paulina St, Chicago, IL 60609]>","[41.808612, -87.66741]",RoadIntersection,"W 47th St & S Paulina St, Chicago, IL 60609"
34,W 52nd St And S Francisco Ave,"<[OK] Bing - Geocode [W 52nd St & S Francisco Ave, Chicago, IL 60632]>","[41.799147, -87.696395]",RoadIntersection,"W 52nd St & S Francisco Ave, Chicago, IL 60632"
35,W 52nd St And S Richmond St,"<[OK] Bing - Geocode [W 52nd St & S Richmond St, Chicago, IL 60632]>","[41.799126, -87.697617]",RoadIntersection,"W 52nd St & S Richmond St, Chicago, IL 60632"
36,W 53rd St And S Richmond St,"<[OK] Bing - Geocode [W 53rd St & S Richmond St, Chicago, IL 60632]>","[41.7972868, -87.6975644]",RoadIntersection,"W 53rd St & S Richmond St, Chicago, IL 60632"
37,W 58th St And S Halsted St,"<[OK] Bing - Geocode [W 58th St & S Halsted St, Chicago, IL 60621]>","[41.788861, -87.645025]",RoadIntersection,"W 58th St & S Halsted St, Chicago, IL 60621"
38,W 66th St And S Pulaski Rd,"<[OK] Bing - Geocode [W 66th St & S Pulaski Rd, Chicago, IL 60629]>","[41.773182, -87.722573]",RoadIntersection,"W 66th St & S Pulaski Rd, Chicago, IL 60629"
39,W 77th St And S Ashland Ave,"<[OK] Bing - Geocode [W 77th St & S Ashland Ave, Chicago, IL 60620]>","[41.754002, -87.663474]",RoadIntersection,"W 77th St & S Ashland Ave, Chicago, IL 60620"
40,W 78th Pl And S Kedvale Ave,"<[OK] Bing - Geocode [W 78th Pl & S Kedvale Ave, Chicago, IL 60652]>","[41.7500171, -87.7247375]",RoadIntersection,"W 78th Pl & S Kedvale Ave, Chicago, IL 60652"
41,W 81st St And S Kenneth Ave,"<[OK] Bing - Geocode [W 81st St & S Kenneth Ave, Chicago, IL 60652]>","[41.745671, -87.7324794]",RoadIntersection,"W 81st St & S Kenneth Ave, Chicago, IL 60652"
42,S Union Ave And W 106th St,"<[OK] Bing - Geocode [S Union Ave & W 106th St, Chicago, IL 60628]>","[41.701473, -87.640253]",RoadIntersection,"S Union Ave & W 106th St, Chicago, IL 60628"
43,W Addison St And N Elston Ave,"<[OK] Bing - Geocode [W Addison St & N Elston Ave, Chicago, IL 60618]>","[41.946631, -87.708802]",RoadIntersection,"W Addison St & N Elston Ave, Chicago, IL 60618"
44,W Arthington St And S Karlov Ave,"<[OK] Bing - Geocode [W Arthington St & S Karlov Ave, Chicago, IL 60624]>","[41.8699867, -87.7277669]",RoadIntersection,"W Arthington St & S Karlov Ave, Chicago, IL 60624"
45,W Barry Ave And N Drake Ave,"<[OK] Bing - Geocode [W Barry Ave & N Drake Ave, Chicago, IL 60618]>","[41.937429, -87.716124]",RoadIntersection,"W Barry Ave & N Drake Ave, Chicago, IL 60618"
46,W Carmen Ave And N Central Park Ave,"<[OK] Bing - Geocode [W Carmen Ave & N Central Park Ave, Chicago, IL 60625]>","[41.9738313, -87.7184006]",RoadIntersection,"W Carmen Ave & N Central Park Ave, Chicago, IL 60625"
47,W Chase Ave And N Paulina St,"<[OK] Bing - Geocode [W Chase Ave & N Paulina St, Chicago, IL 60626]>","[42.0138243, -87.6724049]",RoadIntersection,"W Chase Ave & N Paulina St, Chicago, IL 60626"
48,W Lexington St And S Kilbourn Ave,"<[OK] Bing - Geocode [W Lexington St & S Kilbourn Ave, Chicago, IL 60624]>","[41.8715298, -87.7378268]",RoadIntersection,"W Lexington St & S Kilbourn Ave, Chicago, IL 60624"
49,W Palatine Ave And N Natoma Ave,"<[OK] Bing - Geocode [W Palatine Ave & N Natoma Ave, Chicago, IL 60631]>","[41.995511, -87.7919665]",RoadIntersection,"W Palatine Ave & N Natoma Ave, Chicago, IL 60631"
50,W Palmer St And N Kilpatrick Ave,"<[OK] Bing - Geocode [W Palmer St & N Kilpatrick Ave, Chicago, IL 60639]>","[41.9206205, -87.7437499]",RoadIntersection,"W Palmer St & N Kilpatrick Ave, Chicago, IL 60639"
51,W Polk St And S Pulaski Rd,"<[OK] Bing - Geocode [W Polk St & S Pulaski Rd, Chicago, IL 60624]>","[41.870952, -87.725327]",RoadIntersection,"W Polk St & S Pulaski Rd, Chicago, IL 60624"
52,W Roscoe St And N Greenview Ave,"<[OK] Bing - Geocode [W Roscoe St & N Greenview Ave, Chicago, IL 60657]>","[41.943378, -87.666325]",RoadIntersection,"W Roscoe St & N Greenview Ave, Chicago, IL 60657"
53,W Roscoe St And N Marshfield Ave,"<[OK] Bing - Geocode [W Roscoe St & N Marshfield Ave, Chicago, IL 60657]>","[41.943344, -87.669969]",RoadIntersection,"W Roscoe St & N Marshfield Ave, Chicago, IL 60657"
54,W Winona St And N Ravenswood Ave,"<[OK] Bing - Geocode [W Winona St & N Ravenswood Ave, Chicago, IL 60640]>","[41.974803, -87.674903]",RoadIntersection,"W Winona St & N Ravenswood Ave, Chicago, IL 60640"
55,W Argyle St And N California Ave,"<[OK] Bing - Geocode [W Argyle St & N California Ave, Chicago, IL 60625]>","[41.972188, -87.698814]",RoadIntersection,"W Argyle St & N California Ave, Chicago, IL 60625"
56,S St Louis Ave And W 80th Pl,"<[OK] Bing - Geocode [S Saint Louis Ave & W 80th Pl, Chicago, IL 60652]>","[41.7469494, -87.7096541]",RoadIntersection,"S Saint Louis Ave & W 80th Pl, Chicago, IL 60652"
57,N Mayfield Ave And W Madison St,"<[OK] Bing - Geocode [N Mayfield Ave & W Madison St, Chicago, IL 60644]>","[41.880088, -87.771732]",RoadIntersection,"N Mayfield Ave & W Madison St, Chicago, IL 60644"
58,S Princeton Ave And W 59th St,"<[OK] Bing - Geocode [S Princeton Ave & W 59th St, Chicago, IL 60621]>","[41.787176, -87.632821]",RoadIntersection,"S Princeton Ave & W 59th St, Chicago, IL 60621"
59,E 88th St And S East End Ave,"<[OK] Bing - Geocode [E 88th St & S East End Ave, Chicago, IL 60617]>","[41.735135, -87.582849]",RoadIntersection,"E 88th St & S East End Ave, Chicago, IL 60617"
60,N Bernard St And W Grace St,"<[OK] Bing - Geocode [N Bernard St & W Grace St, Chicago, IL 60618]>","[41.950203, -87.714012]",RoadIntersection,"N Bernard St & W Grace St, Chicago, IL 60618"
61,N Davlin Ct And W Barry Ave,"<[OK] Bing - Geocode [N Davlin Ct & W Barry Ave, Chicago, IL 60618]>","[41.936691, -87.724922]",RoadIntersection,"N Davlin Ct & W Barry Ave, Chicago, IL 60618"
62,N Drake Ave And W Carmen Ave,"<[OK] Bing - Geocode [N Drake Ave & W Carmen Ave, Chicago, IL 60625]>","[41.9738397, -87.7172033]",RoadIntersection,"N Drake Ave & W Carmen Ave, Chicago, IL 60625"
63,N Greenview Ave And W Henderson St,"<[OK] Bing - Geocode [N Greenview Ave & W Henderson St, Chicago, IL 60657]>","[41.942503, -87.666305]",RoadIntersection,"N Greenview Ave & W Henderson St, Chicago, IL 60657"
64,S St Louis Ave And W 75th St,"<[OK] Bing - Geocode [S Saint Louis Ave, Chicago, IL 60624]>","[41.8780240500002, -87.7135046499745]",RoadBlock,"S Saint Louis Ave, Chicago, IL 60624"
65,N Overhill Ave And W Birchwood Ave,"<[OK] Bing - Geocode [N Overhill Ave & W Birchwood Ave, Chicago, IL 60631]>","[42.0168859, -87.8187884]",RoadIntersection,"N Overhill Ave & W Birchwood Ave, Chicago, IL 60631"
66,N Troy St And W Devon Ave,"<[OK] Bing - Geocode [N Troy St & W Devon Ave, Chicago, IL 60659]>","[41.997408, -87.708197]",RoadIntersection,"N Troy St & W Devon Ave, Chicago, IL 60659"
67,N Washtenaw Ave And W Carmen Ave,"<[OK] Bing - Geocode [N Washtenaw Ave & W Carmen Ave, Chicago, IL 60625]>","[41.9740186, -87.6964149]",RoadIntersection,"N Washtenaw Ave & W Carmen Ave, Chicago, IL 60625"
68,S Ashland Ave And W 108th Pl,"<[OK] Bing - Geocode [S Ashland Ave & W 108th Pl, Chicago, IL 60643]>","[41.696677, -87.661981]",RoadIntersection,"S Ashland Ave & W 108th Pl, Chicago, IL 60643"
69,N Leclaire Ave And W Diversey Ave,"<[OK] Bing - Geocode [N Leclaire Ave & W Diversey Ave, Chicago, IL 60639]>","[41.931449, -87.753968]",RoadIntersection,"N Leclaire Ave & W Diversey Ave, Chicago, IL 60639"
70,S Clark St And W 21st St,"<[OK] Bing - Geocode [S Clark St, Chicago, IL 60827]>","[41.6337955000003, -87.6244845000291]",RoadBlock,"S Clark St, Chicago, IL 60827"
71,S Damen Ave And W 83rd St,"<[OK] Bing - Geocode [S Damen Ave & W 83rd St, Chicago, IL 60620]>","[41.742944, -87.672979]",RoadIntersection,"S Damen Ave & W 83rd St, Chicago, IL 60620"
72,S Eggleston Ave And W 105th St,"<[OK] Bing - Geocode [S Eggleston Ave & W 105th St, Chicago, IL 60628]>","[41.703395, -87.634229]",RoadIntersection,"S Eggleston Ave & W 105th St, Chicago, IL 60628"
73,S Green St And W 107th St,"<[OK] Bing - Geocode [S Green St & W 107th St, Chicago, IL 60643]>","[41.699629, -87.643833]",RoadIntersection,"S Green St & W 107th St, Chicago, IL 60643"
74,S Hamlin Blvd And W Wilcox St,"<[OK] Bing - Geocode [S Hamlin Blvd & W Wilcox St, Chicago, IL 60624]>","[41.878944, -87.720751]",RoadIntersection,"S Hamlin Blvd & W Wilcox St, Chicago, IL 60624"
75,S Hoyne Ave And W 71st Pl,"<[OK] Bing - Geocode [S Hoyne Ave & W 71st Pl, Chicago, IL 60636]>","[41.763863, -87.675957]",RoadIntersection,"S Hoyne Ave & W 71st Pl, Chicago, IL 60636"
76,S Hoyne Ave And W 73rd St,"<[OK] Bing - Geocode [S Hoyne Ave & W 73rd St, Chicago, IL 60636]>","[41.761136, -87.6758571]",RoadIntersection,"S Hoyne Ave & W 73rd St, Chicago, IL 60636"
77,S Karlov Ave And W Polk St,"<[OK] Bing - Geocode [S Karlov Ave & W Polk St, Chicago, IL 60624]>","[41.8709134, -87.7277991]",RoadIntersection,"S Karlov Ave & W Polk St, Chicago, IL 60624"
78,S Kildare Ave And W Harrison St,"<[OK] Bing - Geocode [S Kildare Ave & W Harrison St, Chicago, IL 60624]>","[41.8733499, -87.7327647]",RoadIntersection,"S Kildare Ave & W Harrison St, Chicago, IL 60624"
79,S Mason Ave And W Arthington St,"<[OK] Bing - Geocode [S Mason Ave & W Arthington St, Chicago, IL 60644]>","[41.8691324, -87.7730355]",RoadIntersection,"S Mason Ave & W Arthington St, Chicago, IL 60644"
80,S Princeton Ave And W 59th Pl,"<[OK] Bing - Geocode [S Princeton Ave & W 59th Pl, Chicago, IL 60621]>","[41.786347, -87.632804]",RoadIntersection,"S Princeton Ave & W 59th Pl, Chicago, IL 60621"
81,S Central Park Ave And W 75th St,"<[OK] Bing - Geocode [S Central Park Ave & W 75th St, Chicago, IL 60652]>","[41.7568928, -87.7120345]",RoadIntersection,"S Central Park Ave & W 75th St, Chicago, IL 60652"
82,W 73rd St And S Whipple St,"<[OK] Bing - Geocode [W 73rd St & S Whipple St, Chicago, IL 60629]>","[41.7607989, -87.6990261]",RoadIntersection,"W 73rd St & S Whipple St, Chicago, IL 60629"
83,W 58th St And S Peoria St,"<[OK] Bing - Geocode [W 58th St & S Peoria St, Chicago, IL 60621]>","[41.788804, -87.6474523]",RoadIntersection,"W 58th St & S Peoria St, Chicago, IL 60621"
