location_name,blockgroup_id,distance
114th St./114th Pl./S. Forest Ave,170314914003',0.001
61st St. Langley to Rhodes,170314206001',0.0505
61st St. Langley to Rhodes,170314206002',0.0505
61st St. Langley to Rhodes,170314205001',0.198
77th and Ada,170317102005',0.001
Baltimore Ave./131st St./Burley Av./132nd St.,170315501006',0.001
"Birchwood Ave., Howard St./Chase Ave./Seeley Ave.",170310102012',0.001
Clark St. - 9th St. to Polk St.,170318390003',0.0945
Clark St. - 9th St. to Polk St.,170318390002',0.0945
Drexel / 64th,170314208001',0.001
Longwood/117th,170317505002',0.001
Longwood/117th,170317505004',0.001
Longwood/117th/116th,170317505002',0.144
Longwood/117th/116th,170317505004',0.144
Ozanam and Balmoral Relief Sewer,170311005004',0.001
Racine & Wrightwood,170310705001',0.001
Racine & Wrightwood,170310704003',0.001
S. Archer Ave.; Rockwell to Sacramento,170315805023',0.0475
S. Archer Ave.; Rockwell to Sacramento,170315805013',0.081
S. Archer Ave.; Rockwell to Sacramento,170315805012',0.3905
S. Archer Ave.; Rockwell to Sacramento,170315806002',0.1105
S. Archer Ave.; Rockwell to Sacramento,170315806001',0.3845
S. Archer Ave.; Rockwell to Sacramento,170315801002',0.027
S. Kolmar & W. 68th St.,170316505003',0.001
S. Perry Av./W. 113th Pl./W. 112th Pl./S. State,170314913001',0.3815
S. Perry Av./W. 113th Pl./W. 112th Pl./S. State,170314913002',0.3795
S. Perry Av./W. 113th Pl./W. 112th Pl./S. State,170314914002',0.101
W. Hollywood Av./N. Lincoln Av./N. Rockwell,170310208013',0.331
Wrightwood/Clark,170310702003',0.001
Wrightwood/Clark,170310702001',0.001
Wrightwood/Clark,170310701021',0.001
