project_number,location_name,year_range
[170 -02] 39570,114th St./114th Pl./S. Forest Ave,2019-2023
[170 -02] 39570,114th St./114th Pl./S. Forest Ave,2015-2019
[170 -02] 39570,114th St./114th Pl./S. Forest Ave,2018-2022
[170 -02] 39570,114th St./114th Pl./S. Forest Ave,2016-2020
[170 -02] 39570,114th St./114th Pl./S. Forest Ave,2017-2021
[170 -02] 39681,61st St. Langley to Rhodes,2015-2019
[170 -02] 40135,77th and Ada,2016-2020
[170 -02] 40139,Baltimore Ave./131st St./Burley Av./132nd St.,2016-2020
[170 -02] 39698,"Birchwood Ave., Howard St./Chase Ave./Seeley Ave.",2015-2019
[170 -02] 39698,"Birchwood Ave., Howard St./Chase Ave./Seeley Ave.",2016-2020
[170 -02] 40142,Clark St. - 9th St. to Polk St.,2016-2020
[170 -02] 40247,Drexel / 64th,2016-2020
[170 -02] 38831,Longwood/117th,2014-2018
[170 -02] 38831,Longwood/117th/116th,2015-2019
[170 -02] 40134,Ozanam and Balmoral Relief Sewer,2016-2020
[170 -02] 40143,Racine & Wrightwood,2016-2020
[170 -02] 39706,S. Archer Ave.; Rockwell to Sacramento,2015-2019
[170 -02] 39704,S. Kolmar & W. 68th St.,2015-2019
[170 -02] 39499,S. Perry Av./W. 113th Pl./W. 112th Pl./S. State,2015-2019
[170 -02] 39054,W. Hollywood Av./N. Lincoln Av./N. Rockwell,2014-2018
[170 -02] 40140,Wrightwood/Clark,2016-2020
