,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
15,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2016-2020,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]",170314601001,170315502002
31,[170 -02] 37794,On E 100th St From S Avenue N To S Ewing Ave,2016-2020,E 100th St And S Avenue N,E 100th St And S Ewing Ave,"[41.713861, -87.538895]","[41.7135376, -87.535274]",170315202003,"[41.7135376, -87.535274]"
73,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave,2016-2020,S Clark St And W 21st St,S Clark St And S Archer Ave,"[41.6380745000001, -87.6244875000644]","[41.855159, -87.630161]","[41.6380745000001, -87.6244875000644]",170318411001
389,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2017-2021,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]",170314601001,170315502002
397,[170 -02] 38309,On W Albion Ave From N Sayre Ave To N Nixon Ave,2017-2021,W Albion Ave And N Sayre Ave,W Albion Ave And N Nixon Ave,"[42.0015351, -87.801613]","[42.0015122, -87.8041383]",170311002006,"[42.0015122, -87.8041383]"
488,[170 -02] 38309,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,2017-2021,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave,"[42.0032805658152, -87.7118958227386]","[41.966649, -87.710889]","[42.0032805658152, -87.7118958227386]",170311407011
545,[170 -02] 40718,On E 75th St From S Kingston Ave To S Phillips Ave,2017-2021,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]",170314313021,"[41.759008, -87.564763]"
606,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2018-2022,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]",170314601001,170315502002
614,[170 -02] 38309,On W Albion Ave From N Sayre Ave To N Nixon Ave,2018-2022,W Albion Ave And N Sayre Ave,W Albion Ave And N Nixon Ave,"[42.0015351, -87.801613]","[42.0015122, -87.8041383]",170311002006,"[42.0015122, -87.8041383]"
704,[170 -02] 38309,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,2018-2022,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave,"[42.0032805658152, -87.7118958227386]","[41.966649, -87.710889]","[42.0032805658152, -87.7118958227386]",170311407011
776,[170 -02] 40718,On E 75th St From S Kingston Ave To S Phillips Ave,2018-2022,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]",170314313021,"[41.759008, -87.564763]"
844,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2019-2023,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]",170314601001,170315502002
890,[170 -02] 38309,On W Albion Ave From N Sayre Ave To N Nixon Ave,2019-2023,W Albion Ave And N Sayre Ave,W Albion Ave And N Nixon Ave,"[42.0015351, -87.801613]","[42.0015122, -87.8041383]",170311002006,"[42.0015122, -87.8041383]"
980,[170 -02] 38309,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,2019-2023,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave,"[42.0032805658152, -87.7118958227386]","[41.966649, -87.710889]","[42.0032805658152, -87.7118958227386]",170311407011
1065,[170 -02] 40718,On E 75th St From S Kingston Ave To S Phillips Ave,2019-2023,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]",170314313021,"[41.759008, -87.564763]"
1134,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2015-2019,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]",170314601001,170315502002
1146,[170 -02] 36338,On S Avenue O From E 133rd St To E 135th St,2015-2019,S Avenue O And E 133rd St,S Avenue O And E 135th St,"[41.6536703, -87.539947]","[41.650015, -87.539887]",170315501001,170315501003
1184,[170 -02] 37793,On S Longwood Dr From W 119th St To W 116th St,2015-2019,S Longwood Dr And W 119th St,S Longwood Dr And W 116th St,"[41.67728, -87.675225]","[41.682878, -87.674099]","[41.67728, -87.675225]",170317505004
1211,[170 -02] 37793,On W 123rd St From S Carpenter St To S Peoria St,2015-2019,W 123rd St And S Carpenter St,W 123rd St And S Peoria St,"[41.670445, -87.647756]","[41.6705106, -87.6440745]","[41.670445, -87.647756]",170315304001
1217,[170 -02] 37793,On E 75th St From S Kingston Ave To S Phillips Ave,2015-2019,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]",170314313021,"[41.759008, -87.564763]"
1232,[170 -02] 37794,On E 100th St From S Avenue N To S Ewing Ave,2015-2019,E 100th St And S Avenue N,E 100th St And S Ewing Ave,"[41.713861, -87.538895]","[41.7135376, -87.535274]",170315202003,"[41.7135376, -87.535274]"
1304,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave,2015-2019,S Clark St And W 21st St,S Clark St And S Archer Ave,"[41.6380745000001, -87.6244875000644]","[41.855159, -87.630161]","[41.6380745000001, -87.6244875000644]",170318411001
1602,[170 -04] 37898,On N Clark St From W Arthur Ave To W Edgewater Ave,2016-2020,N Clark St And W Arthur Ave,N Clark St And W Edgewater Ave,"[42.0006169, -87.6714279]","[42.019429, -87.676396]",170318306003,"[42.019429, -87.676396]"
1646,[170 -04] 37898,On N Albany Ave From W Lawrence Ave To W Leland Ave,2016-2020,N Albany Ave And W Lawrence Ave,N Albany Ave And W Leland Ave,"[41.968466, -87.706038]","[41.966648, -87.706007]",170311408005,"[41.966648, -87.706007]"
1710,[170 -04] 37898,On S Long Ave From W 51st St To S Archer Ave,2016-2020,S Long Ave And W 51st St,S Long Ave And S Archer Ave,"[41.8001188, -87.7576321]","[41.796545, -87.757486]","[41.8001188, -87.7576321]",170315607002
1745,[170 -04] 37898,On W Gunnison St From N Nagle Ave To N Mason Ave,2016-2020,W Gunnison St And N Nagle Ave,W Gunnison St And N Mason Ave,"[41.9684117, -87.7880289]","[41.9685548, -87.7771074]","[41.9684117, -87.7880289]",170311104002
1746,[170 -04] 37898,On W Howard St From N Oconto Ave To N Odell Ave,2016-2020,W Howard St And N Oconto Ave,W Howard St And N Odell Ave,"[42.018934, -87.807783]","[42.018886, -87.810223]",170310901001,"[42.018886, -87.810223]"
1768,[170 -04] 37898,On S Rutherford Ave From W 51st St To W 52nd St,2016-2020,S Rutherford Ave And W 51st St,S Rutherford Ave And W 52nd St,"[41.7995428, -87.7904815]","[41.7977357, -87.7905068]","[41.7995428, -87.7904815]",170315609003
1775,[170 -04] 37898,On W 31st St From S Wood St To S Damen Ave,2016-2020,W 31st St And S Wood St,W 31st St And S Damen Ave,"[41.837721, -87.670564]","[41.83764, -87.675491]",170318432002,170318432002
1847,[170 -04] 37898,7612-7760 W Touhy Ave,2016-2020,7612 W Touhy Ave,7760 W Touhy Ave,"[42.011703, -87.816989]","[42.011420358939176, -87.81995877508338]",170310901003,"[42.011420358939176, -87.81995877508338]"
1884,[170 -04] 37898,On N Clark St From W Arthur Ave To W Edgewater Ave,2017-2021,N Clark St And W Arthur Ave,N Clark St And W Edgewater Ave,"[42.0006169, -87.6714279]","[42.019429, -87.676396]",170318306003,"[42.019429, -87.676396]"
1933,[170 -04] 37898,On N Albany Ave From W Lawrence Ave To W Leland Ave,2017-2021,N Albany Ave And W Lawrence Ave,N Albany Ave And W Leland Ave,"[41.968466, -87.706038]","[41.966648, -87.706007]",170311408005,"[41.966648, -87.706007]"
1997,[170 -04] 37898,On S Long Ave From W 51st St To S Archer Ave,2017-2021,S Long Ave And W 51st St,S Long Ave And S Archer Ave,"[41.8001188, -87.7576321]","[41.796545, -87.757486]","[41.8001188, -87.7576321]",170315607002
2061,[170 -04] 37898,On S Rutherford Ave From W 51st St To W 52nd St,2017-2021,S Rutherford Ave And W 51st St,S Rutherford Ave And W 52nd St,"[41.7995428, -87.7904815]","[41.7977357, -87.7905068]","[41.7995428, -87.7904815]",170315609003
2107,[170 -04] 37898,On W Howard St From N Oconto Ave To N Odell Ave,2017-2021,W Howard St And N Oconto Ave,W Howard St And N Odell Ave,"[42.018934, -87.807783]","[42.018886, -87.810223]",170310901001,"[42.018886, -87.810223]"
