,project_number,year_range,location_name,block_group,distance
0,[170 -04] 37896,2014-2018,On S Vincennes Ave From W 103rd St To W 10600 S. Vincennes Ave,170317207002,0.664525559337919
1,[170 -04] 37896,2014-2018,On W Belden Ave From N Kenneth Ave To N Kostner Ave,170312003002,0.09920564209880837
2,[170 -02] 38791,2016-2020,6434-6534 W 60th St,170316404001,0.13631368332229576
3,[170 -02] 37793,2015-2019,S Paulina St And W 88th St,170317113001,0.001
4,[170 -02] 37794,2015-2019,244-300 W 60th Pl,170318346003,0.06985992233617583
5,[170 -04] 37898,2016-2020,7632-7728 W Touhy Ave,170310901003,0.22114583283483583
6,[170 -02] 38802,2016-2020,2644-2924 E 128th St,170315502001,0.3400181468314767
7,[170 -04] 37898,2017-2021,On W 39th Pl From W 2800 To W 2708,170315805014,0.015250009958904368
8,[170 -04] 37898,2017-2021,On W 39th Pl From W 2800 To W 2708,170315806001,0.15670332516639252
9,[170 -04] 38342,2018-2022,834-870 E 88th Pl,170314408001,0.09470223235721117
10,[170 -04] 39029,2018-2022,S Lawndale Ave And W 32nd St,170318305003,0.001
11,[170 -02] 37719,2014-2018,500-520 W 45th Pl,170316108001,0.05542951656731554
12,[170 -02] 38784,2014-2018,S Aberdeen St And W 107th St,170317501002,0.001
13,[170 -02] 32989,2016-2020,On E 77th St From S Blackstone Ave To S Dante Ave,170318342004,0.10128695299416028
14,[170 -02] 32989,2016-2020,On S Blackstone Ave From E 76th St To E 77th St,170318342004,0.19897505876097796
15,[170 -02] 33346,2016-2020,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,170311502002,0.3176816399213908
16,[170 -02] 33346,2016-2020,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,170311502004,0.49311502920972544
17,[170 -02] 33346,2016-2020,N Cicero Ave And W Lawrence Ave,170311204003,0.001
18,[170 -02] 33467,2016-2020,On N Claremont Ave From W Eastwood Ave To W Wilson Ave,170310406003,0.0012044076511712007
19,[170 -02] 33467,2016-2020,On N Claremont Ave From W Eastwood Ave To W Wilson Ave,170310406002,0.09409067577025826
20,[170 -02] 33467,2016-2020,On W Leland Ave From N Lincoln Ave To N Leavitt St,170310406003,0.2812966422185726
21,[170 -02] 33467,2016-2020,On W Lawrence Ave From N Oakley Ave To N Leavitt St,170310406003,0.20190317133173064
22,[170 -02] 35683,2016-2020,On E 69th St From S Langley Ave To S St Lawrence Ave,170314212002,0.1922155998527409
23,[170 -02] 35683,2016-2020,On S Langley Ave From E 68th St To E 67th St,170314212002,0.0012210498886945256
24,[170 -02] 35683,2016-2020,On S Langley Ave From E 68th St To E 67th St,170314212001,0.19983307068919254
25,[170 -02] 36174,2016-2020,S Avenue J And E 99th St,170315201001,0.001
26,[170 -02] 36174,2016-2020,On E 99th St From S Ewing Ave To S Avenue J,170315202003,0.000332374398785726
27,[170 -02] 36174,2016-2020,On E 99th St From S Ewing Ave To S Avenue J,170315201001,0.10395005763048426
28,[170 -02] 37794,2016-2020,On W 106th St From S Lowe Ave To S Wallace St,170314911005,0.09957448704661354
29,[170 -02] 37794,2016-2020,On W 109th St From S Ashland Ave To S Vincennes Ave,170317501003,0.09536771451868536
30,[170 -02] 37794,2016-2020,On W 47th St From S Paulina St To S Honore St,170316104001,0.20049215346417587
31,[170 -02] 37794,2016-2020,On W 47th St From S Paulina St To S Honore St,170316103003,0.1024629864369999
32,[170 -02] 37794,2016-2020,On W 52nd St From S Francisco Ave To S Richmond St,170316304001,0.10132384698425224
33,[170 -02] 37794,2016-2020,On W 52nd St From S Richmond St To S Sacramento Ave,170316304001,0.10088793231385497
34,[170 -02] 37794,2016-2020,On W 52nd St From S Richmond St To S Sacramento Ave,170316304004,0.00027020314015670276
35,[170 -02] 37794,2016-2020,On W 66th St From S Pulaski Rd To S Hamlin Ave,170316503014,0.006241013056393804
36,[170 -02] 37794,2016-2020,On W 66th St From S Pulaski Rd To S Hamlin Ave,170316503022,0.4058817723421543
37,[170 -02] 37794,2016-2020,On W 77th St From S Ashland Ave To S Laflin St,170317103001,0.12792007311897435
38,[170 -02] 37794,2016-2020,On W 78th Pl From S Kedvale Ave To S Keeler Ave,170317002004,0.11505189952576747
39,[170 -02] 37794,2016-2020,On W 81st St From S Kenneth Ave To S Kolmar Ave,170317003013,0.20816050888421309
40,[170 -02] 37794,2016-2020,On S Union Ave From W 106th St To W 105th St,170314911005,0.1443427744895801
41,[170 -02] 37794,2016-2020,On W Addison St From N Elston Ave To N Spaulding Ave,170311608002,0.08388505988187792
42,[170 -02] 37794,2016-2020,On W Arthington St From S Karlov Ave To S Keeler Ave,170312610002,0.2017633127600613
43,[170 -02] 37794,2016-2020,On W Barry Ave From N Drake Ave To N Gresham Ave,170312106013,0.2607602264369464
44,[170 -02] 37794,2016-2020,On W Carmen Ave From N Central Park Ave To N Drake Ave,170318318005,0.11920189172435695
