,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup,error_blockgorups
2126,[170 -04] 37898,340-22 E Illinois St,2017-2021,340 E Illinois St,22 E Illinois St,"[41.891100553886055, -87.61748692001967]","[41.8904867, -87.6274133]",170310814023,170310815003,170310814031
2179,[170 -04] 37898,2400-2144 W Bross Ave,2017-2021,2400 W Bross Ave,2144 W Bross Ave,"[41.834317, -87.68549]","[41.895900853280516, -87.68132965618157]",170318403001,170312423002,170318413004
2043,[170 -04] 37898,On S Damen Ave From W 32nd St To S Archer Ave,2017-2021,S Damen Ave And W 32nd St,S Damen Ave And S Archer Ave,"[41.87141275, -87.676272549996]","[41.831904, -87.675336]",170318382001,170318403002,170318432002
283,[170 -02] 38801,On W Peterson Ave From N North Shore Channel To N Kedvale Ave,2016-2020,W Peterson Ave And N North Shore Channel,W Peterson Ave And N Kedvale Ave,"[41.88322830200195, -87.63240051269531]","[41.9900786, -87.7324997]",170318391001,170311302001,170318422001
2179,[170 -04] 37898,2400-2144 W Bross Ave,2017-2021,2400 W Bross Ave,2144 W Bross Ave,"[41.834317, -87.68549]","[41.895900853280516, -87.68132965618157]",170318403001,170312423002,170318413002
2208,[170 -04] 38342,On S Central Park Ave From W 28th St To W 32nd St,2017-2021,S Central Park Ave And W 28th St,S Central Park Ave And W 32nd St,"[41.840727, -87.714694]","[41.83526, -87.71458]",170313017012,170318305002,170318305003
2484,[170 -04] 38342,On S Central Park Ave From W 28th St To W 32nd St,2018-2022,S Central Park Ave And W 28th St,S Central Park Ave And W 32nd St,"[41.840727, -87.714694]","[41.83526, -87.71458]",170313017012,170318305002,170318305003
2743,[170 -04] 39029,On S Central Park Ave From W 28th St To W 32nd St,2018-2022,S Central Park Ave And W 28th St,S Central Park Ave And W 32nd St,"[41.840727, -87.714694]","[41.83526, -87.71458]",170313017012,170318305002,170318305003
2943,[170 -04] 39029,On S Central Park Ave From W 28th St To W 32nd St,2019-2023,S Central Park Ave And W 28th St,S Central Park Ave And W 32nd St,"[41.840727, -87.714694]","[41.83526, -87.71458]",170313017012,170318305002,170318305003
1,[170 -04] 37896,On S Wallace St From W 58th St To W 59th St,2014-2018,S Wallace St And W 58th St,S Wallace St And W 59th St,"[41.6752054000047, -87.6370201495643]","[41.7871295, -87.6401719]",170315305012,170318347003,170316912003
