location_name,blockgroup_id
S Paulina St And W 88th St,'170317113001'
S Lawndale Ave And W 32nd St,'170318305003'
S Aberdeen St And W 107th St,'170317501002'
N Cicero Ave And W Lawrence Ave,'170311601002'
S Avenue J And E 99th St,'170315201001'
N Mayfield Ave And W Madison St,'170312521011'
N Keating Ave And W Devon Ave,'170311203006'
N Mcvicker Ave And W Ardmore Ave,'170311001003'
N Menard Ave And W Madison St,'170312520002'
N Mozart St And W Argyle St,'170310403003'
S Austin Blvd And W Roosevelt Rd,'170318314002'
S Mason Ave And W Arthington St,'170318314002'
S Mayfield Ave And W Roosevelt Rd,'170318314002'
S Monitor Ave And W Roosevelt Rd,'170318314002'
S Scottsdale Ave And S Knox Ave,'170317003013'
S St Louis Ave And W Columbus Ave,'170317004011'
W 60th Pl And S Wells St,'170318346003'
N Moody Ave And W Ardmore Ave,'170311001003'
N Normandy Ave And W Devon Ave,'170311002002'
S Keeler Ave And W 78th St,'170317002004'
S May St And W 107th St,'170317501002'
S Menard Ave And W Roosevelt Rd,'170318314002'
S Princeton Ave And W 60th Pl,'170318346003'
S Springfield Ave And W 78th St,'170317002003'
S Whipple St And W 52nd St,'170316304004'
W 77th Pl And S Keeler Ave,'170317002004'
W Madison St And N Menard Ave,'170312520002'
W 79th St And S Karlov Ave,'170317002004'
W 77th St And S Emerald Ave,'170317101001'
W 66th St And S Pulaski Rd,'170316503022'
W 59th St And S Nashville Ave,'170316404001'
W 58th Pl And S Hamlin Ave,'170316204002'
W 52nd St And S Francisco Ave,'170316304001'
W 104th St And S Hoyne Ave,'170317206001'
S Perry Ave And W 68th St,'170316903001'
S Lafayette Ave And W 115th St,'170315302001'
S Karlov Ave And W 79th St,'170317002004'
S Carpenter St And W 64th St,'170316810004'
N Washtenaw Ave And W Argyle St,'170310402014'
N Elston Ave And W Augusta Blvd,'170318423001'
E 43rd St And S Vernon Ave,'170313802002'
W Palmer St And N Cicero Ave,'170311911001'
W Ardmore Ave And N Austin Ave,'170311001003'
W 77th St And S Perry Ave,'170316912002'
W 73rd St And S Kedzie Ave,'170316611003'
W 65th St And S Lawndale Ave,'170316503022'
W 58th St And S Halsted St,'170318347001'
W 52nd St And S Kedzie Ave,'170316303001'
W 107th St And S Morgan St,'170317501002'
W Palatine Ave And N Natoma Ave,'170311002002'
