,location_name,blockgroup_id,status,distance,from_lat,from_long,to_lat,to_long
1925,10-34 N Western Ave,'170318378001',check,0.001361733,41.88138938,-87.68658046,41.88140162,-87.68658097
842,10600-10700 S Hale Ave,'170317207001',check,0.228714155,41.70131056,-87.66932128,41.69894193,-87.66904869
843,10600-10700 S Hale Ave,'170317502002',check,0.035636432,41.70131056,-87.66932128,41.69894193,-87.66904869
1291,1800-1945 N Nordica Ave,'170312505007',check,0.16410786,41.912656,-87.80269,41.915716,-87.801808
1292,1800-1945 N Nordica Ave,'170312505004',check,0.183887954,41.912656,-87.80269,41.915716,-87.801808
3414,1900-2000 N Laramie Ave,'170312503001',check,0.092609535,41.914911,-87.756239,41.91678157,-87.75601915
3415,1900-2000 N Laramie Ave,'170311912002',check,0.116182797,41.914911,-87.756239,41.91678157,-87.75601915
1965,2100-2130 S Millard Ave,'170318414002',check,0.071125729,41.85353321,-87.71632698,41.852927,-87.716601
1380,221-0 W Ohio St,'170310817002',check,0.365741287,41.892136,-87.635008,41.892492,-87.628083
1381,221-0 W Ohio St,'170310816001',check,0.131138041,41.892136,-87.635008,41.892492,-87.628083
1382,221-0 W Ohio St,'170310815001',check,0.000936826,41.892136,-87.635008,41.892492,-87.628083
1383,221-0 W Ohio St,'170310818002',check,0.076757283,41.892136,-87.635008,41.892492,-87.628083
1950,3200-3240 N Ottawa Ave,'170311707002',check,0.126261396,41.93807119,-87.81779022,41.939177,-87.818137
1924,3200-3332 N Pittsburgh Ave,'170311706002',check,0.253405829,41.93798542,-87.8324736,41.94026317,-87.83257193
1512,3600-3622 W Garfield Square Dr,'170312315003',check,0.045371584,41.89075,-87.716558,41.89068,-87.717098
1354,3615-3645 N Pontiac Ave,'170311705004',check,0.091658336,41.945373,-87.834883,41.946197,-87.834913
1315,3615-3941 N Cumberland Ave,'170311705004',check,0.341078355,41.945339,-87.836062,41.951475,-87.836293
1316,3615-3941 N Cumberland Ave,'170311705003',check,0.341482077,41.945339,-87.836062,41.951475,-87.836293
1489,4400-4558 W 59th St,'170316203005',check,0.381010474,41.786002,-87.732862,41.786047,-87.737457
1289,4812-4900 W Patterson Ave,'170311508003',check,0.188667637,41.9470983,-87.74753931,41.947179,-87.749818
3417,5600-5650 N Delphia Ave,'170317608011',check,0.017441878,41.98118402,-87.84154849,41.98173097,-87.84153988
3418,5600-5650 N Delphia Ave,'170317608012',check,0.043380637,41.98118402,-87.84154849,41.98173097,-87.84153988
3416,5800-5852 N Milwaukee Ave,'170311001002',check,0.150564163,41.986804,-87.778246,41.987869,-87.779371
3406,6300-6328 W Addison St,'170311702002',check,0.083749007,41.9458457,-87.7840103,41.945878,-87.785022
3,6434-6534 W 60th St,'170316404001',check,0.136313683,41.783456,-87.782866,41.7831608,-87.78446164
1767,7216-7300 N Odell Ave,'170310901002',check,0.171387767,42.012135,-87.810535,42.013675,-87.810621
1271,7332-7412 S St Louis Ave,'170316611005',check,0.084018943,41.75955864,-87.71006467,41.7586592,-87.71003286
1272,7332-7412 S St Louis Ave,'170316611002',check,0.016029409,41.75955864,-87.71006467,41.7586592,-87.71003286
261,On E 102nd Pl From S State St To S Michigan Ave,'170314907002',check,0.001144414,41.708083,-87.623554,41.708131,-87.620077
262,On E 102nd Pl From S State St To S Michigan Ave,'170314908005',check,0.287537752,41.708083,-87.623554,41.708131,-87.620077
2980,On E 107th St From S Langley Ave To S Champlain Ave,'170315002001',check,0.001717485,41.7001108,-87.6062166,41.700091,-87.60737
2981,On E 107th St From S Langley Ave To S Champlain Ave,'170315002002',check,0.094065817,41.7001108,-87.6062166,41.700091,-87.60737
337,On E 110th St From S Avenue L To S State Line Rd,'170315205001',check,0.300487432,41.695481,-87.536465,41.695418,-87.524625
338,On E 110th St From S Avenue L To S State Line Rd,'170315206001',check,0.001539158,41.695481,-87.536465,41.695418,-87.524625
339,On E 110th St From S Avenue L To S State Line Rd,'170315203004',check,0.096685854,41.695481,-87.536465,41.695418,-87.524625
340,On E 110th St From S Avenue L To S State Line Rd,'170315205002',check,0.584368414,41.695481,-87.536465,41.695418,-87.524625
2808,On E 116th St From S Prairie Ave To S Front Ave,'170315301001',check,0.302023242,41.6825968,-87.6167358,41.682613,-87.613099
936,On E 73rd St From S Blackstone Ave To S Stony Island Ave,'170314304003',check,0.183320012,41.7623717,-87.5884671,41.762389,-87.586257
412,On E 80th St From S Evans Ave To S Champlain Ave,'170314402011',check,0.199487688,41.749415,-87.606412,41.7493941,-87.6088165
408,On E 80th St From S Rhodes Ave To S St Lawrence Ave,'170314402012',check,0.101387524,41.749358,-87.611257,41.749372,-87.610035
651,On E 82nd St From S Merrill Ave To S Jeffery Blvd,'170314605004',check,0.299028381,41.74619,-87.572284,41.746149,-87.57589
652,On E 82nd St From S Merrill Ave To S Jeffery Blvd,'170314605005',check,0.000170436,41.74619,-87.572284,41.746149,-87.57589
1681,On E 85th Pl From S Stony Island Ave To S Cregier Ave,'170318343004',check,0.001248056,41.739642,-87.585723,41.73968,-87.580586
1682,On E 85th Pl From S Stony Island Ave To S Cregier Ave,'170314503003',check,0.003503542,41.739642,-87.585723,41.73968,-87.580586
