,location_name,from,to,from_lat_long,to_lat_long
0,On S Vincennes Ave From W 103rd St To W 10600 S. Vincennes Ave,S Vincennes Ave And W 103rd St,S Vincennes Ave And W 10600 S. Vincennes Ave,"[41.7067852, -87.6560249]","[41.701163, -87.658739]"
3,On W Belden Ave From N Kenneth Ave To N Kostner Ave,W Belden Ave And N Kenneth Ave,W Belden Ave And N Kostner Ave,"[41.922537, -87.737696]","[41.9225564, -87.7364972]"
4,6434-6534 W 60th St,6434 W 60th St,6534 W 60th St,"[41.783456, -87.782866]","[41.7831607994285, -87.78446164282114]"
6,244-300 W 60th Pl,244 W 60th Pl,300 W 60th Pl,"[41.7847813, -87.6321272]","[41.784566703698765, -87.63291909295857]"
7,7632-7728 W Touhy Ave,7632 W Touhy Ave,7728 W Touhy Ave,"[42.0114704457201, -87.81723383341145]","[42.011978, -87.8198219]"
8,2644-2924 E 128th St,2644 E 128th St,2924 E 128th St,"[41.66305, -87.557603]","[41.662885220917005, -87.55351580925759]"
9,On W 39th Pl From W 2800 To W 2708,2800 W 39th Pl,2708 W 39th Pl,"[41.822132, -87.694822]","[41.822116, -87.692747]"
10,834-870 E 88th Pl,834 E 88th Pl,870 E 88th Pl,"[41.734148, -87.603224]","[41.73399457732844, -87.60210138426473]"
12,500-520 W 45th Pl,500 W 45th Pl,520 W 45th Pl,"[41.8118937, -87.6385183]","[41.811865, -87.639186]"
16,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Balmoral Ave,"[41.9687684, -87.6762189]","[41.979728, -87.676518]"
17,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,W Foster Ave And N Wolcott Ave,W Foster Ave And N Ravenswood Ave,"[41.9760901, -87.6764218]","[41.9761161, -87.6743967]"
18,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave,"[41.9687684, -87.6762189]","[41.973329, -87.676322]"
19,On E 77th St From S Blackstone Ave To S Dante Ave,E 77th St And S Blackstone Ave,E 77th St And S Dante Ave,"[41.7551191, -87.58828]","[41.7550853, -87.5895002]"
20,On S Blackstone Ave From E 76th St To E 77th St,S Blackstone Ave And E 76th St,S Blackstone Ave And E 77th St,"[41.756908, -87.588338]","[41.7551191, -87.58828]"
21,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,N Lavergne Ave And W Lawrence Ave,N Lavergne Ave And W Montrose Ave,"[41.9679628, -87.7526526]","[41.960674, -87.752378]"
23,On N Claremont Ave From W Eastwood Ave To W Wilson Ave,N Claremont Ave And W Eastwood Ave,N Claremont Ave And W Wilson Ave,"[41.965767, -87.687537]","[41.96491, -87.687542]"
24,On W Leland Ave From N Lincoln Ave To N Leavitt St,W Leland Ave And N Lincoln Ave,W Leland Ave And N Leavitt St,"[41.9668515, -87.6873947]","[41.9668657, -87.6839924]"
25,On W Lawrence Ave From N Oakley Ave To N Leavitt St,W Lawrence Ave And N Oakley Ave,W Lawrence Ave And N Leavitt St,"[41.9686202, -87.686456]","[41.9687233, -87.6840165]"
26,On E 69th St From S Langley Ave To S St Lawrence Ave,E 69th St And S Langley Ave,E 69th St And S St Lawrence Ave,"[41.7694538, -87.6081473]","[41.76937890000001, -87.61046285]"
27,On S Langley Ave From E 68th St To E 67th St,S Langley Ave And E 68th St,S Langley Ave And E 67th St,"[41.77127, -87.608168]","[41.773078, -87.608196]"
28,On E 101st St From S Avenue N To S Ewing Ave,E 101st St And S Avenue N,E 101st St And S Ewing Ave,"[41.711957, -87.53892]","[41.711966, -87.535283]"
