,Unnamed: 0,location_name,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
0,0,On S Vincennes Ave From W 103rd St To W 10600 S. Vincennes Ave,S Vincennes Ave And W 103rd St,S Vincennes Ave And W 10600 S. Vincennes Ave,"[41.7067852, -87.6560249]","[41.701163, -87.658739]",170317207002,170317207002
1,3,On W Belden Ave From N Kenneth Ave To N Kostner Ave,W Belden Ave And N Kenneth Ave,W Belden Ave And N Kostner Ave,"[41.922537, -87.737696]","[41.9225564, -87.7364972]",170312003002,170312003002
2,4,6434-6534 W 60th St,6434 W 60th St,6534 W 60th St,"[41.783456, -87.782866]","[41.7831607994285, -87.78446164282114]",170316404001,170316404001
3,6,244-300 W 60th Pl,244 W 60th Pl,300 W 60th Pl,"[41.7847813, -87.6321272]","[41.784566703698765, -87.63291909295857]",170318346003,170318346003
4,7,7632-7728 W Touhy Ave,7632 W Touhy Ave,7728 W Touhy Ave,"[42.0114704457201, -87.81723383341145]","[42.011978, -87.8198219]",170310901003,170310901003
5,8,2644-2924 E 128th St,2644 E 128th St,2924 E 128th St,"[41.66305, -87.557603]","[41.662885220917005, -87.55351580925759]",170315502001,170315502001
6,9,On W 39th Pl From W 2800 To W 2708,2800 W 39th Pl,2708 W 39th Pl,"[41.822132, -87.694822]","[41.822116, -87.692747]",170315805014,170315806001
7,10,834-870 E 88th Pl,834 E 88th Pl,870 E 88th Pl,"[41.734148, -87.603224]","[41.73399457732844, -87.60210138426473]",170314408001,170314408001
8,12,500-520 W 45th Pl,500 W 45th Pl,520 W 45th Pl,"[41.8118937, -87.6385183]","[41.811865, -87.639186]",170316108001,170316108001
9,16,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Balmoral Ave,"[41.9687684, -87.6762189]","[41.979728, -87.676518]",170318308001,170310401001
10,17,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,W Foster Ave And N Wolcott Ave,W Foster Ave And N Ravenswood Ave,"[41.9760901, -87.6764218]","[41.9761161, -87.6743967]",170310401002,170310309004
11,18,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave,"[41.9687684, -87.6762189]","[41.973329, -87.676322]",170318308001,170310404021
12,19,On E 77th St From S Blackstone Ave To S Dante Ave,E 77th St And S Blackstone Ave,E 77th St And S Dante Ave,"[41.7551191, -87.58828]","[41.7550853, -87.5895002]",170318342004,170318342004
13,20,On S Blackstone Ave From E 76th St To E 77th St,S Blackstone Ave And E 76th St,S Blackstone Ave And E 77th St,"[41.756908, -87.588338]","[41.7551191, -87.58828]",170318342004,170318342004
14,21,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,N Lavergne Ave And W Lawrence Ave,N Lavergne Ave And W Montrose Ave,"[41.9679628, -87.7526526]","[41.960674, -87.752378]",170311502002,170311502004
15,23,On N Claremont Ave From W Eastwood Ave To W Wilson Ave,N Claremont Ave And W Eastwood Ave,N Claremont Ave And W Wilson Ave,"[41.965767, -87.687537]","[41.96491, -87.687542]",170310406003,170310406002
16,24,On W Leland Ave From N Lincoln Ave To N Leavitt St,W Leland Ave And N Lincoln Ave,W Leland Ave And N Leavitt St,"[41.9668515, -87.6873947]","[41.9668657, -87.6839924]",170310406003,170310406003
17,25,On W Lawrence Ave From N Oakley Ave To N Leavitt St,W Lawrence Ave And N Oakley Ave,W Lawrence Ave And N Leavitt St,"[41.9686202, -87.686456]","[41.9687233, -87.6840165]",170310406003,170310404014
18,26,On E 69th St From S Langley Ave To S St Lawrence Ave,E 69th St And S Langley Ave,E 69th St And S St Lawrence Ave,"[41.7694538, -87.6081473]","[41.76937890000001, -87.61046285]",170314212002,170314212002
19,27,On S Langley Ave From E 68th St To E 67th St,S Langley Ave And E 68th St,S Langley Ave And E 67th St,"[41.77127, -87.608168]","[41.773078, -87.608196]",170314212002,170314212001
20,28,On E 101st St From S Avenue N To S Ewing Ave,E 101st St And S Avenue N,E 101st St And S Ewing Ave,"[41.711957, -87.53892]","[41.711966, -87.535283]",170315202002,170315202002
21,30,On E 99th St From S Ewing Ave To S Avenue J,E 99th St And S Ewing Ave,E 99th St And S Avenue J,"[41.715797, -87.535281]","[41.715841, -87.534026]",170315202003,170315201001
22,31,On E 100th St From S Avenue N To S Ewing Ave,E 100th St And S Avenue N,E 100th St And S Ewing Ave,"[41.713861, -87.538895]","[41.7135376, -87.535274]",170315202003,"[41.7135376, -87.535274]"
23,32,On W 106th St From S Lowe Ave To S Wallace St,W 106th St And S Lowe Ave,W 106th St And S Wallace St,"[41.701496, -87.639021]","[41.701519, -87.637822]",170314911005,170314911005
24,33,On W 109th St From S Ashland Ave To S Vincennes Ave,W 109th St And S Ashland Ave,W 109th St And S Vincennes Ave,"[41.6957833, -87.6619343]","[41.695763, -87.660786]",170317501003,170317501003
25,34,On W 47th St From S Paulina St To S Honore St,W 47th St And S Paulina St,W 47th St And S Honore St,"[41.808612, -87.66741]","[41.80858, -87.671065]",170316104001,170316103003
26,35,On W 52nd St From S Francisco Ave To S Richmond St,W 52nd St And S Francisco Ave,W 52nd St And S Richmond St,"[41.799147, -87.696395]","[41.799126, -87.697617]",170316304001,170316304001
27,36,On W 52nd St From S Richmond St To S Sacramento Ave,W 52nd St And S Richmond St,W 52nd St And S Sacramento Ave,"[41.799126, -87.697617]","[41.799105, -87.698837]",170316304001,170316304004
28,37,On W 53rd St From S Richmond St To S Kedzie Ave,W 53rd St And S Richmond St,W 53rd St And S Kedzie Ave,"[41.7972868, -87.6975644]","[41.7971428, -87.7036535]",170316304001,170316304003
29,38,On W 58th St From S Halsted St To S Carpenter St,W 58th St And S Halsted St,W 58th St And S Carpenter St,"[41.788861, -87.645025]","[41.788789, -87.651058]",170318347001,170316805002
30,39,On W 66th St From S Pulaski Rd To S Hamlin Ave,W 66th St And S Pulaski Rd,W 66th St And S Hamlin Ave,"[41.773182, -87.722573]","[41.773242, -87.717729]",170316503022,170316503022
31,40,On W 77th St From S Ashland Ave To S Laflin St,W 77th St And S Ashland Ave,W 77th St And S Laflin St,"[41.754002, -87.663474]","[41.754014, -87.661932]",170317103001,170317103001
32,41,On W 78th Pl From S Kedvale Ave To S Keeler Ave,W 78th Pl And S Kedvale Ave,W 78th Pl And S Keeler Ave,"[41.7500171, -87.7247375]","[41.750155, -87.726112]",170317002004,170317002004
33,42,On W 81st St From S Kenneth Ave To S Kolmar Ave,W 81st St And S Kenneth Ave,W 81st St And S Kolmar Ave,"[41.745671, -87.7324794]","[41.7452931, -87.7349368]",170317003013,170317003013
34,43,On S Union Ave From W 106th St To W 105th St,S Union Ave And W 106th St,S Union Ave And W 105th St,"[41.701473, -87.640253]","[41.702771, -87.640275]",170314911005,170314911005
35,44,On W Addison St From N Elston Ave To N Spaulding Ave,W Addison St And N Elston Ave,W Addison St And N Spaulding Ave,"[41.946631, -87.708802]","[41.946613, -87.709816]",170311608002,170311608002
36,45,On W Arthington St From S Karlov Ave To S Keeler Ave,W Arthington St And S Karlov Ave,W Arthington St And S Keeler Ave,"[41.8699867, -87.7277669]","[41.8699594, -87.7302033]",170312610002,170312610002
37,46,On W Barry Ave From N Drake Ave To N Gresham Ave,W Barry Ave And N Drake Ave,W Barry Ave And N Gresham Ave,"[41.937429, -87.716124]","[41.937471, -87.712972]",170312106013,170312106013
38,47,On W Carmen Ave From N Central Park Ave To N Drake Ave,W Carmen Ave And N Central Park Ave,W Carmen Ave And N Drake Ave,"[41.9738313, -87.7184006]","[41.9732749, -87.7171681]",170318318005,170318318005
39,48,On W Chase Ave From N Paulina St To N Clark St,W Chase Ave And N Paulina St,W Chase Ave And N Clark St,"[42.0138243, -87.6724049]","[42.013787, -87.674847]",170310102022,170310102022
40,49,On W Lexington St From S Kilbourn Ave To S Kolmar Ave,W Lexington St And S Kilbourn Ave,W Lexington St And S Kolmar Ave,"[41.8715298, -87.7378268]","[41.8715075, -87.7389825]",170312610001,170312610001
41,50,On W Palatine Ave From N Natoma Ave To N Newcastle Ave,W Palatine Ave And N Natoma Ave,W Palatine Ave And N Newcastle Ave,"[41.995511, -87.7919665]","[41.995151, -87.7967186]",170311002002,170311002007
42,51,On W Palmer St From N Kilpatrick Ave To N Knox Ave,W Palmer St And N Kilpatrick Ave,W Palmer St And N Knox Ave,"[41.9206205, -87.7437499]","[41.9206405, -87.742559]",170311910001,170311910001
43,52,On W Polk St From S Pulaski Rd To S Karlov Ave,W Polk St And S Pulaski Rd,W Polk St And S Karlov Ave,"[41.870952, -87.725327]","[41.8709134, -87.7277991]",170312609002,170312610002
44,53,On W Roscoe St From N Greenview Ave To N Bosworth Ave,W Roscoe St And N Greenview Ave,W Roscoe St And N Bosworth Ave,"[41.943378, -87.666325]","[41.943366, -87.667534]",170310624001,170318319001
45,54,On W Roscoe St From N Marshfield Ave To N Bosworth Ave,W Roscoe St And N Marshfield Ave,W Roscoe St And N Bosworth Ave,"[41.943344, -87.669969]","[41.943366, -87.667534]",170318319002,170318319001
46,55,On W Winona St From N Ravenswood Ave To N Paulina St,W Winona St And N Ravenswood Ave,W Winona St And N Paulina St,"[41.974803, -87.674903]","[41.975193, -87.672035]",170310404021,170310310001
47,56,On W Argyle St From N California Ave To N Mozart St,W Argyle St And N California Ave,W Argyle St And N Mozart St,"[41.972188, -87.698814]","[41.972172, -87.700037]",170310403003,170310403003
48,57,On S St Louis Ave From W 80th Pl To W 81st Pl,S St Louis Ave And W 80th Pl,S St Louis Ave And W 81st Pl,"[41.7469494, -87.7096541]","[41.74515, -87.709606]",170317004011,170317004011
49,59,On S Princeton Ave From W 59th St To W 59th Pl,S Princeton Ave And W 59th St,S Princeton Ave And W 59th Pl,"[41.787176, -87.632821]","[41.786347, -87.632804]",170318346003,170318346003
50,60,On E 88th St From S East End Ave To S Constance Ave,E 88th St And S East End Ave,E 88th St And S Constance Ave,"[41.735135, -87.582849]","[41.73521, -87.57932]",170314801002,170314801002
51,61,On N Bernard St From W Grace St To W Irving Park Rd,N Bernard St And W Grace St,N Bernard St And W Irving Park Rd,"[41.950203, -87.714012]","[41.953907, -87.714143]",170311608005,170311605023
52,62,On N Davlin Ct From W Barry Ave To N Milwaukee Ave,N Davlin Ct And W Barry Ave,N Davlin Ct And N Milwaukee Ave,"[41.936691, -87.724922]","[41.938538, -87.72291]",170312105012,170312105012
53,63,On N Drake Ave From W Carmen Ave To W Foster Ave,N Drake Ave And W Carmen Ave,N Drake Ave And W Foster Ave,"[41.9738397, -87.7172033]","[41.975607, -87.717228]",170318318005,170318318004
54,64,On N Greenview Ave From W Henderson St To W Roscoe St,N Greenview Ave And W Henderson St,N Greenview Ave And W Roscoe St,"[41.942503, -87.666305]","[41.943378, -87.666325]",170310624001,170310624001
55,65,On S St Louis Ave From W 75th St To W 76th St,S St Louis Ave And W 75th St,S St Louis Ave And W 76th St,"[41.75692, -87.709955]","[41.7551703, -87.7098815]",170317001001,170317001001
56,66,On N Overhill Ave From W Birchwood Ave To W Howard St,N Overhill Ave And W Birchwood Ave,N Overhill Ave And W Howard St,"[42.0168859, -87.8187884]","[42.018696, -87.818782]",170310901004,170310901004
57,67,On N Troy St From W Devon Ave To W Arthur Ave,N Troy St And W Devon Ave,N Troy St And W Arthur Ave,"[41.997408, -87.708197]","[41.999239, -87.708247]",170310207021,170310203012
