,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,170 06 / 37889,0F19,"8,215,000",0,"8,215,000","8,215,000"
1,170 06 / 37889,0F24,"19,325,042",0,"19,325,042","19,325,042"
2,170 06 / 37890,0F24,"16,970,000",0,0,"16,970,000"
3,170 06 / 37891,SBF,"17,480,000",0,0,"17,480,000"
4,170 06 / 37893,0F19,"2,150,000",0,"2,150,000","2,150,000"
5,170 06 / 37893,0F24,"5,150,000",0,"5,150,000","5,150,000"
6,170 06 / 37894,0F24,"5,300,000",0,0,"5,300,000"
7,170 06 / 37895,SBF,"5,460,000",0,0,"5,460,000"
8,170 06 / 37899,0F19,"2,000,000",0,"2,000,000","2,000,000"
9,170 06 / 37899,0F24,"4,120,000",0,"4,120,000","4,120,000"
10,170 06 / 37900,0F24,"4,240,000",0,0,"4,240,000"
11,170 06 / 37901,SBF,"4,370,000",0,0,"4,370,000"
12,170 06 / 38311,SBF,"4,500,000",0,0,"4,500,000"
13,170 06 / 38312,SBF,"18,010,000",0,0,"18,010,000"
14,170 06 / 38315,SBF,"5,630,000",0,0,"5,630,000"
15,170 06 / 39027,SBF,"5,800,000",0,0,"5,800,000"
16,170 06 / 39028,SBF,"4,640,000",0,0,"4,640,000"
