,Project_#,Project_Title,Start_Date,End_Date
0,170 02 0465 / 2917,87th St./Marquette/Houston/Essex/Kingston,Aug-2013,May-2014
1,170 02 0042 / 3204,"CALUMET #4D, PHASE II, 130TH-TORRENCE TO BRANDON",Jun-2017,Sep-2017
2,170 02 / 32926,Wolcott/Foster,Jun-2008,Sep-2015
3,170 02 / 33346,N.Lavergne Ave.- W. Lawrence Av. to W. Montrose Av.(Tunneling),Jun-2014,Nov-2015
4,170 02 / 35683,E. 69th St./St. Lawrence,Jun-2015,Sep-2015
5,170 02 / 36058,Torrence Ave and 130th St,Jun-2014,Aug-2014
6,170 02 / 36337,107th St. - Av. O to State line Rd.,Oct-2013,May-2014
7,170 02 / 36338,S. Ave O - E. 133rd St. to E. 135th St.,Jun-2014,Aug-2014
8,170 02 / 36364,Albany Ave: 82nd St to 83rd St,Apr-2014,May-2014
9,170 02 / 36595,E. 67th St./Paxton/E. 70th Pl./S. Crandon,Jun-2013,May-2014
10,170 02 / 36606,S. ARCHER/W.37TH ST,Mar-2014,Dec-2014
11,170 02 / 36849,2014 Professional Services - Design/Engineering,Jan-2014,Dec-2014
12,170 02 / 36850,2015 Professional Services - Design/Engineering,Jan-2015,Dec-2015
13,170 02 / 36851,2016 Professional Services - Design/Engineering,Jan-2016,Dec-2016
14,170 02 / 37719,2014 Sewer Main Construction - In House,Jan-2014,Apr-2015
15,170 02 / 37791,2014 Ancillary Sewer Construction,Jan-2014,Dec-2014
16,170 02 / 37792,2015 Ancillary Sewer Construction,Jan-2015,Dec-2015
17,170 02 / 37793,2015 Sewer Main Construction - In House,Jan-2015,Dec-2015
18,170 02 / 37794,2016 Sewer Main Construction - In House,Jan-2016,Dec-2016
19,170 02 / 37887,2016 Ancillary Sewer Construction,Jan-2016,Dec-2016
20,170 02 / 37903,2014 CDOT Materials QA,Jan-2014,Dec-2014
21,170 02 / 37904,2015 CDOT Materials QA,Jan-2015,Dec-2015
22,170 02 / 37905,2016 CDOT Materials QA,Jan-2016,Dec-2016
23,170 02 / 37907,2014 CDOT - DEO,Jan-2014,Dec-2014
24,170 02 / 37908,2015 CDOT - DEO,Jan-2015,Dec-2015
25,170 02 / 37909,2016 CDOT - DEO,Jan-2016,Dec-2016
26,170 02 / 37910,2014 Sewer Modeling,Jan-2014,Dec-2014
27,170 02 / 37911,2015 Sewer Modeling,Jan-2015,Dec-2015
28,170 02 / 37912,2016 Sewer Modeling,Jan-2016,Dec-2016
29,170 02 / 37914,2014 Professional Services - Construction Management Consultants,Jan-2014,Dec-2014
30,170 02 / 37915,2015 Professional Services - Construction Management Consultants,Jan-2015,Dec-2015
31,170 02 / 37916,2016 Professional Services - Construction Management Consultants,Jan-2016,Dec-2016
