,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -04] 3043,0F19,"5,250,000",0,0,"5,250,000"
1,[170 -04] 3044,0F19,"3,400,000",0,0,"3,400,000"
2,[170 -04] 37897,0F19,"3,000,000",0,"3,000,000","3,000,000"
3,[170 -04] 37897,0F30,"60,000,000",0,"60,000,000","60,000,000"
4,[170 -04] 37898,0F19,"35,000,000",0,"35,000,000","35,000,000"
5,[170 -04] 37898,SBF,"37,970,000",0,0,"37,970,000"
6,[170 -04] 38342,0F19,"40,000,000",0,0,"40,000,000"
7,[170 -04] 38342,SBF,"30,230,000",0,0,"30,230,000"
8,[170 -04] 39029,0F19,"40,000,000",0,0,"40,000,000"
9,[170 -04] 39029,SBF,"18,430,000",0,0,"18,430,000"
10,[170 -04] 39743,0F19,"35,000,000",0,0,"35,000,000"
11,[170 -04] 39743,SBF,"18,020,000",0,0,"18,020,000"
