,Project_#,Project_Location
0,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave
1,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave
2,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave
3,[170 -02] 32926,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave
4,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave
5,[170 -02] 33346,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave
6,[170 -02] 33346,N Cicero Ave And W Lawrence Ave
7,[170 -02] 33467,On W Lawrence Ave From N Oakley Ave To N Leavitt St
8,[170 -02] 35683,On E 69th St From S Langley Ave To S St Lawrence Ave
9,[170 -02] 35683,On S Langley Ave From E 68th St To E 67th St
10,[170 -02] 36040,W 76th St And S Halsted St
11,[170 -02] 36040,613-700 W 77th St
12,[170 -02] 36040,W 78th St And S Emerald Ave
13,[170 -02] 36338,On S Avenue O From E 133rd St To E 135th St
14,[170 -02] 37792,On S Halsted St From W 75th St To W 78th St
15,[170 -02] 37792,W Altgeld St And N Keeler Ave
16,[170 -02] 37792,W 60th St And S Hamlin Ave
17,[170 -02] 37792,W 52nd St And S Kostner Ave
18,[170 -02] 37792,S Halsted St And W 77th St
19,[170 -02] 37792,W Cullom Ave And N Ravenswood Ave
20,[170 -02] 37792,N Maplewood Ave And W North Shore Ave
21,[170 -02] 37792,N Hamlin Ave And W Addison St
22,[170 -02] 37792,E 90th St And S Constance Ave
23,[170 -02] 37792,N Rockwell St And W Foster Ave
24,[170 -02] 37792,W Belle Plaine Ave And N Albany Ave
25,[170 -02] 37792,E 118th St And S Prairie Ave
26,[170 -02] 37792,N Fairfield Ave And W Albion Ave
27,[170 -02] 37792,N Keystone Ave And W Glenlake Ave
28,[170 -02] 37792,N Nordica Ave And W Berwyn Ave
29,[170 -02] 37792,S Genoa Ave And W 98th St
30,[170 -02] 37792,S Parnell Ave And W 129th Pl
31,[170 -02] 37792,W 57th St And S Kedzie Ave
32,[170 -02] 37792,W 70th St And S Ashland Ave
33,[170 -02] 37792,W Hunt Ave And S Longwood Dr
