,Project_#,Project_Location
0,[170 -04] 37898,On E 69th St From S Anthony Ave To S Vernon Ave
1,[170 -04] 37898,On N Milwaukee Ave From W Catalpa Ave To W Farragut Ave
2,[170 -04] 37898,On N Mobile Ave From W Gunnison St To W Argyle St
3,[170 -04] 37898,On N Mulligan Ave From W Peterson Ave To N Northwest Hwy
4,[170 -04] 37898,On N New England Ave From W Belmont Ave To W Wellington Ave
5,[170 -04] 37898,On N Newcastle Ave From W Belmont Ave To W Wellington Ave
6,[170 -04] 37898,On N Newland Ave From W Dickens Ave To W Armitage Ave
7,[170 -04] 37898,On N Newland Ave From W Wrightwood Ave To W Grand Ave
8,[170 -04] 37898,On N Normandy Ave From W Barry Ave To W Wellington Ave
9,[170 -04] 37898,On N Oak Park Ave From W Altgeld St To W Grand Ave
10,[170 -04] 37898,On N Oconto Ave From W Thorndale Ave To W Talcott Ave
11,[170 -04] 37898,On N Olcott Ave From W Gregory St To W Catalpa Ave
12,[170 -04] 37898,On N Melvina Ave From W Bloomingdale Ave To W Wabansia Ave
13,[170 -04] 37898,On N Paris Ave From W Grace St To W Waveland Ave
14,[170 -04] 37898,On N Sayre Ave From W Bloomingdale Ave To W North Ave
15,[170 -04] 37898,On N Springfield Ave From W Grand Ave To W Potomac Ave
16,[170 -04] 37898,On N Woodard St From N Milwaukee Ave To N Spaulding Ave
17,[170 -04] 37898,On S Archer Ave From S Central Ave To S Long Ave
18,[170 -04] 37898,On S Archer Ave From S Linder Ave To S Long Ave
19,[170 -04] 37898,On S Ashland Ave From W Congress Pkwy To W Roosevelt Rd
20,[170 -04] 37898,On S Blackstone Ave From E 74th St To E 75th St
21,[170 -04] 37898,On S California Ave From W Monroe St To W Van Buren St
22,[170 -04] 37898,On S Carpenter St From W 71st St To W 72nd St
23,[170 -04] 37898,On S Dorchester Ave From E 70th St To E 71st St
24,[170 -04] 37898,On S Emerald Ave From W 69th St To W 71st St
25,[170 -04] 37898,On N Point St From N California Ave To W Armitage Ave
26,[170 -04] 37898,On N Mcclellan Ave From N Mandell Ave To N Meredith Ave
27,[170 -04] 37898,On S Fairfield Ave From W 80th St To W 81st St
28,[170 -04] 37898,On N Lockwood Ave From W Altgeld St To W Fullerton Ave
29,[170 -04] 37898,On E 73rd St From S Blackstone Ave To S Stony Island Ave
30,[170 -04] 37898,On N Ada St From W Hubbard St To W Kinzie St
31,[170 -04] 37898,On N Ashland Ave From W Edgewater Ave To W Bryn Mawr Ave
32,[170 -04] 37898,On N Broadway From W Lawrence Ave To W Leland Ave
33,[170 -04] 37898,On N Campbell Ave From W Wellington Ave To N Elston Ave
34,[170 -04] 37898,On N Cicero Ave From W Berenice Ave To W Warwick Ave
35,[170 -04] 37898,On N Lorel Ave From W Altgeld St To W Fullerton Ave
36,[170 -04] 37898,On N Damen Ave From W Carroll Ave To W Warren Blvd
37,[170 -04] 37898,On N Forest Glen Ave From N Ionia Ave To N Hiawatha Ave
38,[170 -04] 37898,On N Hamlin Ave From W School St To W Belmont Ave
39,[170 -04] 37898,On N Hiawatha Ave From N Lenox Ave To N Leader Ave
40,[170 -04] 37898,On N Jersey Ave From W Ardmore Ave To W Bryn Mawr Ave
41,[170 -04] 37898,On N Clark St From W Arthur Ave To W Edgewater Ave
42,[170 -04] 37898,On N Keeler Ave From W Lake St To W Maypole Ave
43,[170 -04] 37898,On N Kilbourn Ave From W Roscoe St To W School St
44,[170 -04] 37898,On N Kimball Ave From W Fullerton Ave To W Schubert Ave
45,[170 -04] 37898,On N Kolmar Ave From W George St To W Diversey Ave
46,[170 -04] 37898,On N La Salle Dr From W Chicago Ave To W Oak St
47,[170 -04] 37898,On N Lansing Ave From N Forest Glen Ave To N Lemont Ave
48,[170 -04] 37898,On N Latrobe Ave From W Augusta Blvd To W Iowa St
49,[170 -04] 37898,On N Leamington Ave From W Berwyn Ave To W Foster Ave
50,[170 -04] 37898,On N Leona Ave From N Hiawatha Ave To N Caldwell Ave
51,[170 -04] 37898,On N Lincoln Ave From N St Louis Ave To N Jersey Ave
52,[170 -04] 37898,On N Lincoln Ave From W Devon Ave To N Drake Ave
53,[170 -04] 37898,On N Kedzie Ave From W Argyle St To W Ainslie St
54,[170 -04] 37898,On N Oconto Ave From W Howard St To W Birchwood Ave
55,[170 -04] 37898,On N Nottingham Ave From W School St To W Belmont Ave
56,[170 -04] 37898,On N Nordica Ave From W Waveland Ave To W Roscoe St
57,[170 -04] 37898,On N Newland Ave From W Irving Park Rd To W Grace St
58,[170 -04] 37898,On N Milwaukee Ave From W Carmen Ave To W Foster Ave
59,[170 -04] 37898,On N New England Ave From W Diversey Ave To W Schubert Ave
60,[170 -04] 37898,On N Narragansett Ave From W Berenice Ave To W Warwick Ave
61,[170 -04] 37898,On N Monitor Ave From W Thomas St To W Augusta Blvd
62,[170 -04] 37898,On N Milwaukee Ave From W Diversey Ave To N Kedzie Ave
63,[170 -04] 37898,On N Newcastle Ave From W Bloomingdale Ave To W Wabansia Ave
64,[170 -04] 37898,On N Octavia Ave From W Howard St To W Birchwood Ave
65,[170 -04] 37898,On S Drexel Ave From E 65th St To E 67th St
66,[170 -04] 37898,On N Paulina St From W Ainslie St To W Lawrence Ave
67,[170 -04] 37898,On N Pontiac Ave From W School St To W Belmont Ave
68,[170 -04] 37898,On N Springfield Ave From W Fullerton Ave To W Shakespeare Ave
69,[170 -04] 37898,On N Talman Ave From W Altgeld St To W Fullerton Ave
70,[170 -04] 37898,On S Ada St From W 50th St To W 51st St
71,[170 -04] 37898,On S Archer Ave From S Damen Ave To S Paulina St
72,[170 -04] 37898,On S Ashland Ave From S Archer Ave To W Pershing Rd
73,[170 -04] 37898,On S Blackstone Ave From E 73rd St To E 73rd Pl
74,[170 -04] 37898,On S Blackstone Ave From E 81st St To E 82nd St
75,[170 -04] 37898,On S Calumet Ave From E 70th St To E 71st St
76,[170 -04] 37898,On S Crandon Ave From E 69th St To E 70th St
77,[170 -04] 37898,On N Meade Ave From W George St To W Diversey Ave
78,[170 -04] 37898,On N Paris Ave From W Addison St To W Forest Preserve Ave
79,[170 -04] 37898,On N Lotus Ave From W Belmont Ave To W Wellington Ave
80,[170 -04] 37898,On N Kedzie Ave From W Walnut St To W Lake St
81,[170 -04] 37898,On N Lincoln Ave From W Devon Ave To N Jersey Ave
82,[170 -04] 37898,On S Evans Ave From E 67th St To E 69th St
83,[170 -04] 37898,On E 69th St From S Langley Ave To S Cottage Grove Ave
84,[170 -04] 37898,On N Ada St From N Ogden Ave To W Madison St
85,[170 -04] 37898,On N Albany Ave From W Lawrence Ave To W Leland Ave
86,[170 -04] 37898,On N Bishop St From W Washington Blvd To W Madison St
87,[170 -04] 37898,On N Campbell Ave From W Altgeld St To W Fullerton Ave
88,[170 -04] 37898,On N Central Park Ave From W Grand Ave To W Iowa St
89,[170 -04] 37898,On N Claremont Ave From N Division St To N Potomac Ave
90,[170 -04] 37898,On N Cumberland Ave From W Irving Park Rd To W Berteau Ave
91,[170 -04] 37898,On N Damen Ave From W Ohio St To W Superior St
92,[170 -04] 37898,On N Hamlin Ave From W Cornelia Ave To W Roscoe St
93,[170 -04] 37898,On N Long Ave From W Wabansia Ave To W North Ave
94,[170 -04] 37898,On N Harding Ave From W Wrightwood Ave To W Altgeld St
95,[170 -04] 37898,On N Justine St From W Arbour Pl To W Lake St
96,[170 -04] 37898,On N Keene Ave From N Sauganash Ave To N Ionia Ave
97,[170 -04] 37898,On N Kildare Ave From W Lake St To W Maypole Ave
98,[170 -04] 37898,On N Kirby Ave From N Caldwell Ave To N Kercheval Ave
99,[170 -04] 37898,On N Kostner Ave From W Lake St To W Maypole Ave
100,[170 -04] 37898,On N Laflin St From W Arbour Pl To W Lake St
101,[170 -04] 37898,On N Laramie Ave From W Concord Pl To W North Ave
102,[170 -04] 37898,On N Lawndale Ave From W Argyle St To W Lawrence Ave
103,[170 -04] 37898,On N Leavitt St From W Kinzie St To W Grand Ave
104,[170 -04] 37898,On N Lincoln Ave From N Kedzie Ave To W Peterson Ave
