,Project_#,Project_Title,Start_Date,End_Date
0,[170 -06] 37891,2016 Sewer Structure Rehabilitation,Jan-16,Dec-16
1,[170 -06] 37895,2016 Private Drain Program,Jan-16,Dec-16
2,[170 -06] 37901,2016 Sewer Cleaning/Televising,Jan-16,Dec-16
3,[170 -06] 38311,2017 Cleaning & Televising,Jan-17,Dec-17
4,[170 -06] 38312,2017 Sewer Structure Rehabilitation,Jan-17,Dec-17
5,[170 -06] 38315,2017 Private Drain Program,Jan-17,Dec-17
6,[170 -06] 39027,2018 - Private Drain Program,Jan-18,Dec-18
7,[170 -06] 39028,2018 - Sewer Main Cleaning & TV'ing,Jan-18,Dec-18
8,[170 -06] 39501,Design/Build CSO/MS4 Rehabilitation,Jan-15,Dec-16
9,[170 -06] 39728,2019 Sewer Structure Rehabilitation,Jan-19,Dec-19
10,[170 -06] 39741,2019 Private Drain Program,Jan-19,Dec-19
11,[170 -06] 39744,2019 Sewer Main Cleaning & Televising,Jan-19,Dec-19
12,[170 -06] 40381,2020 Sewer Structure Rehabilitation,Jan-20,Dec-20
13,[170 -06] 40390,2020 Private Drain Repair,Jan-20,Dec-20
14,[170 -06] 40396,2020 Sewer Main Cleaning & Televising,Jan-20,Dec-20
