,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -02] 3204,SBF,"10,247,231",0,0,"10,247,231"
1,[170 -02] 36851,0F19,"1,500,000","1,500,000",0,0
2,[170 -02] 36851,0F24,"5,000,000","2,000,000","3,000,000","3,000,000"
3,[170 -02] 37905,0F19,"357,152","222,152","135,000","135,000"
4,[170 -02] 37909,0F19,"390,055","165,458","224,597","224,597"
5,[170 -02] 37912,0F19,"1,375,000","580,220","794,780","794,780"
6,[170 -02] 38307,0F19,"8,983,900",0,"8,983,900","8,983,900"
7,[170 -02] 38307,SBF,"16,016,100",0,"16,016,100","16,016,100"
8,[170 -02] 38309,0F19,"4,236,556",0,"4,236,556","4,236,556"
9,[170 -02] 38309,SBF,"35,101,444",0,"35,101,444","35,101,444"
10,[170 -02] 38310,0F19,"5,000,000",0,"5,000,000","5,000,000"
11,[170 -02] 38310,SBF,"11,000,000",0,"11,000,000","11,000,000"
12,[170 -02] 38313,SBF,"306,000",0,"306,000","306,000"
13,[170 -02] 38314,0F19,"380,917",0,"380,917","380,917"
14,[170 -02] 38314,SBF,"1,162,000",0,"1,162,000","1,162,000"
15,[170 -02] 38316,0F19,"600,000",0,"600,000","600,000"
16,[170 -02] 38316,SBF,"816,000",0,"816,000","816,000"
17,[170 -02] 38318,0F19,"4,000,000",0,"4,000,000","4,000,000"
18,[170 -02] 38318,SBF,"6,300,000",0,"6,300,000","6,300,000"
19,[170 -02] 38319,0F19,"6,769,533",0,"6,769,533","6,769,533"
20,[170 -02] 38319,SBF,"7,530,467",0,"7,530,467","7,530,467"
21,[170 -02] 38331,0F19,"1,200,000",0,"1,200,000","1,200,000"
22,[170 -02] 38331,SBF,"963,000",0,"963,000","963,000"
23,[170 -02] 38885,0F19,"2,000,000","1,000,000","1,000,000","1,000,000"
24,[170 -02] 38885,0F43,"5,577,237","1,800,000","3,777,237","3,777,237"
25,[170 -02] 38893,0F19,"700,000",0,"700,000","700,000"
26,[170 -02] 38893,0F43,"2,534,920",0,"2,534,920","2,534,920"
27,[170 -02] 39007,SBF,"25,800,000",0,0,"25,800,000"
28,[170 -02] 39020,SBF,"945,000",0,0,"945,000"
29,[170 -02] 39021,SBF,"229,000",0,0,"229,000"
30,[170 -02] 39022,SBF,"13,400,000",0,0,"13,400,000"
31,[170 -02] 39023,SBF,"10,600,000",0,0,"10,600,000"
32,[170 -02] 39024,SBF,"1,000,000",0,0,"1,000,000"
33,[170 -02] 39025,SBF,"16,500,000",0,0,"16,500,000"
34,[170 -02] 39026,SBF,"2,200,000",0,0,"2,200,000"
35,[170 -02] 39030,SBF,"1,500,000",0,0,"1,500,000"
36,[170 -02] 39031,SBF,"8,000,000",0,0,"8,000,000"
