,Project_#,Project_Title,Start_Date,End_Date
0,[170 -02] 3204,"CALUMET #4D, PHASE II, 130TH-TORRENCE TO BRANDON",Jun-18,Dec-19
1,[170 -02] 37887,2016 Ancillary Sewer Construction,Jan-16,Aug-19
2,[170 -02] 38307,2017 Ancillary Sewer Construction,Jan-17,Jun-19
3,[170 -02] 38309,2017 In -House Construction,Jan-17,Jun-19
5,[170 -02] 38310,2017 In House Restoration,Jan-17,Jun-19
6,[170 -02] 39007,2018 Ancillary Sewer Construction,Jan-18,Jun-19
7,[170 -02] 39021,2018 CDOT - Materials QA,Jan-18,Jun-19
8,[170 -02] 39022,2018 - Sewer Construction Management,Jan-18,Jun-19
9,[170 -02] 39023,2018 - Design Consultants,Jan-18,Jun-19
10,[170 -02] 39025,2018 - In-House Construction Restoration,Jan-18,Jun-19
11,[170 -02] 39026,2018 Costs for PMO (CTR),Jan-18,Jun-19
12,[170 -02] 39031,2018 - Sewer Structure Rehabilitation,Jan-18,Jun-19
13,[170 -02] 39036,2018 - Sewer Main Construction - In-House,Jan-18,Jun-19
14,[170 -02] 39468,Green Restoration for CDOT Project - Leland from Clark to the Lakefront,Jan-15,Dec-19
15,[170 -02] 39561,96th - S. Houston to Marquette Sewer Improvement Project,May-19,Jun-20
16,[170 -02] 39567,Pratt/Oshkosh/Northwest Hwy/Ozark,Feb-20,Apr-20
17,[170 -02] 39568,Normal Avenue,Apr-21,Oct-21
18,[170 -02] 39570,114th St./114th Pl./S. Forest Ave Sewer Improvement Project,Feb-19,Jun-20
19,[170 -02] 39575,W. Lawrence Av. - N. Cicero Ave. to N. Cicero Ave.,Mar-20,Aug-20
20,[170 -02] 39578,2019 In-House Construction - DWM,Jan-19,Dec-19
21,[170 -02] 39722,2019 Ancillary Sewer Construction,Jan-19,Dec-20
22,[170 -02] 39723,2019 In House Restoration (DWM Projects),Jan-19,Dec-20
23,[170 -02] 39734,2019 - Sewer Construction Management,Jan-19,Jun-20
24,[170 -02] 39736,2019 Design Services,Jan-19,Jun-20
25,[170 -02] 39737,2019 Sewer Modeling,Jan-19,Dec-19
26,[170 -02] 39738,2019 DWM PMO  Services,Jan-19,Mar-20
27,[170 -02] 39740,2019 CDOT Materials QA/QC - (DWM Projects),Dec-19,Dec-19
28,[170 -02] 39745,2019 CDOT - DEO Force Account (DWM Projects),Jan-19,Dec-19
29,[170 -02] 40110,2020 In-House Construction,Jan-20,Dec-21
30,[170 -02] 40123,Lotus/Chicago/Ohio/Race/Leamington/Leclaire/L,Mar-18,Jun-19
31,[170 -02] 40128,W. Gunnison St./W. Argyle St. Sewer Improvement Project,Jan-19,Dec-20
32,[170 -02] 40131,Jackson/ Troy/Fifth  Ave. Sewer Improvement,Jan-20,Dec-20
33,[170 -02] 40133,Ravenswood /Berwyn/ Paulina Sewer Improvement Project,Jan-19,Dec-19
34,[170 -02] 40141,N. Central Park / Lawndale Sewer Improvement Project,Mar-19,Sep-19
35,[170 -02] 40376,2020 Ancillary Sewer Construction,Jan-20,Jun-21
36,[170 -02] 40377,2020 In-House Restoration,Jan-20,Jun-21
37,[170 -02] 40378,2020 In-House Capitalized Labor,Jan-20,Dec-20
38,[170 -02] 40382,2020 Construction Management,Jan-20,Jun-21
39,[170 -02] 40383,2020 Design Services,Jan-20,Jun-21
40,[170 -02] 40384,2020 Sewer Modeling,Jan-20,Dec-20
41,[170 -02] 40385,2020 DWM PMO Services,Jan-20,Jun-21
42,[170 -02] 40386,2020 CDOT - DEO,Jan-20,Dec-20
43,[170 -02] 40389,2020 CDOT - QA,Jan-20,Dec-20
44,[170 -02] 40391,2019-2023 Regional Solution Sewer Projects,Jan-20,Dec-22
45,[170 -02] 40413,2019-2023 Regional Solution - Area 4,Jan-23,Dec-23
46,[170 -02] 40456,2019 In-House Capitalized Labor (DWM Projects),Jan-19,Dec-19
47,[170 -02] 40461,Additional PC Projects 2020-2021 (DWM),Jan-20,Dec-21
48,[170 -02] 40462,2019 WPA Streets/Green Initiatives,Jul-18,Dec-19
49,[170 -02] 40566,Chicago Public Schools - Space to Grow Projects,Jan-16,Dec-21
50,[170 -02] 40700,P-2017-01 Sewer Main Replacement Project Various Locations,Mar-17,Jul-19
51,[170 -02] 40717,P-2017-03 Sewer Main Replacement Project Various Locations,Mar-17,Jul-19
52,[170 -02] 40718,P-2017-02 Sewer Main Replacement Project Various Locations,Apr-17,Jul-19
53,[170 -02] 40773,P-2017-04 Sewer Improvement Project Various Locations,Jan-18,Jul-19
54,[170 -02] 40774,P-2017-05 Sewer Improvement Project Various Locations,Jan-18,Jul-19
55,[170 -02] 40775,P-2017-06 Sewer Improvement Project Various Locations,Jan-18,Jul-19
56,[170 -02] 40776,P-2017-10 Sewer Main Replacement Project Various Locations,Apr-17,Jul-19
57,[170 -02] 40777,P-2017-11 Sewer Main Replacement Project Various Locations,Apr-17,Jul-19
58,[170 -02] 40778,P-2017-07 Sewer Improvement Project Various Locations,Jan-18,Jul-19
59,[170 -02] 40779,P-2017-08 Sewer Improvement Project Various Locations,Jan-18,Jul-19
60,[170 -02] 40780,P-2017-09 Sewer Improvement Project Various Locations,Jun-18,Jun-19
61,[170 -02] 40912,2021 Ancillary Sewer Construction,Jan-21,Jun-22
62,[170 -02] 40913,2021 - In-House Construction Restoration,Jan-21,Jun-22
63,[170 -02] 40914,2021 In-House Capitalized Labor,Jan-21,Dec-21
64,[170 -02] 40915,2021 - Sewer Main Construction In-House,Jan-21,Jun-22
65,[170 -02] 40917,2021 - Sewer Construction Management,Jan-21,Jun-22
66,[170 -02] 40918,2021 - Design Consultants,Jan-21,Jun-22
67,[170 -02] 40919,2021 - Sewer Modeling,Jan-21,Dec-21
68,[170 -02] 40920,2021 Costs for PMO (CTR),Jan-21,Jun-22
69,[170 -02] 40921,2021 CDOT - DEO,Jan-21,Dec-21
70,[170 -02] 40922,2021 - CDOT - QA,Jan-21,Dec-21
71,[170 -02] 41000,85th & St. Lawrence Sewer Improvement Project,Feb-19,Jul-19
72,[170 -02] 41001,71st/Jeffery Sewer Improvement Project,Jan-19,Jun-20
73,[170 -02] 41002,S. Avers / W. 72nd St./S. Hamlin Sewer Improvement Project,Jan-19,Jun-20
74,[170 -02] 41005,Ottawa/Waveland Sewer Improvement Project,May-19,Dec-19
75,[170 -02] 41308,2022 Ancillary Sewer Construction,Jan-22,Jun-23
76,[170 -02] 41310,2022 - In-House Construction Restoration,Jan-22,Jun-23
77,[170 -02] 41312,2022 In-House Capitalized Labor,Jan-22,Jun-23
78,[170 -02] 41313,2022 - Sewer Main Construction In-House,Jan-22,Jun-23
79,[170 -02] 41316,2022 - Sewer Construction Management,Jan-22,Jun-23
80,[170 -02] 41317,2022 - Design Consultants,Jan-22,Jun-22
81,[170 -02] 41318,2022 - Sewer Modeling,Jan-22,Jun-23
82,[170 -02] 41319,2022 Costs for PMO (CTR),Jan-22,Jun-23
83,[170 -02] 41320,2022 CDOT - DEO,Jan-22,Jun-23
84,[170 -02] 41321,2022 - CDOT - QA,Jan-22,Jun-23
85,[170 -02] 41322,2022 Private Drain Program,Jan-22,Jun-23
86,[170 -02] 41421,Rain Ready Chatham MWRD Pilot Program,Jan-18,Dec-19
87,[170 -02] 41927,Lamon and Laramie Sewer Improvement Project,Apr-19,Dec-19
88,[170 -02] 41994,2023 Ancillary Sewer Construction,Jul-23,Jun-24
89,[170 -02] 41995,2023 - In-House Construction Restoration,Jul-23,Jun-24
90,[170 -02] 41997,2023 In-House Capitalized Labor,Jan-23,Jun-24
91,[170 -02] 41998,2023 - Sewer Main Construction In-House,Jan-23,Jun-24
92,[170 -02] 42000,2023 - Design Consultants,Jan-23,Jun-24
93,[170 -02] 42001,2023 - Sewer Modeling,Jan-23,Jun-24
94,[170 -02] 42002,2023 Costs for PMO (CTR),Jan-23,Jun-23
95,[170 -02] 42003,2023 CDOT - DEO,Jan-23,Jun-24
96,[170 -02] 42004,2023 - CDOT - QA,Jan-23,Jun-24
97,[170 -02] 42005,2023 Private Drain Program,Jan-23,Jun-24
98,[170 -02] 42042,2023 - Sewer Construction Management,Jan-23,Jun-24
