,Project_#,Project_Location
0,170 04 0026 / 3043,On N Sheridan Rd From W Birchwood Ave To W Devon Ave
1,170 04 0027 / 3044,On W Thorndale Ave From N Sheridan Rd To N Glenwood Ave
2,170 04 / 37896,On E 53rd St From S Cornell Ave To E 1725
3,170 04 / 37896,On N Newgard Ave From W Albion Ave To N 6434
4,170 04 / 37896,On N Octavia Ave From W Greenleaf Ave To W Ibsen St
5,170 04 / 37896,On N Orange Ave From W Addison St To W Cornelia Ave
6,170 04 / 37896,On N Pulaski Rd From W Diversey Ave To W Schubert Ave
7,170 04 / 37896,On N Racine Ave From W Chicago Ave To W Augusta Blvd
8,170 04 / 37896,On N Ridgeway Ave From W George St To W Diversey Ave
9,170 04 / 37896,On N Sacramento Ave From W Farwell Ave To W Pratt Blvd
10,170 04 / 37896,On N Sandburg Ter From W Germania Pl To N 1577
11,170 04 / 37896,On N Sheffield Ave From W Nelson St To W Belmont Ave
12,170 04 / 37896,On N State St From W Chicago Ave To N 333
13,170 04 / 37896,On N Trumbull Ave From W Chicago Ave To W Franklin Blvd
14,170 04 / 37896,On N Washtenaw Ave From W Wabansia Ave To W Le Moyne St
15,170 04 / 37896,On S Avalon Ave From E 92nd St To E 93rd St
16,170 04 / 37896,On S Blue Island Ave From S Leavitt St To S Western Ave
17,170 04 / 37896,On S Calumet Ave From E Garfield Blvd To S 5430
18,170 04 / 37896,On S Clark St From W Harrison St To S 601
19,170 04 / 37896,On S Desplaines St From W Madison St To W Kinzie St
20,170 04 / 37896,On S Forrestville Ave From E 50th St To E 51st St
21,170 04 / 37896,On S Indiana Ave From E 107th St To E 111th St
22,170 04 / 37896,On S Jeffery Blvd From E 80th St To E 83rd St
23,170 04 / 37896,On S Longwood Dr From W 115th St To W 116th Pl
24,170 04 / 37896,On N Nagel From W Gregory St To W Catalpa Ave
25,170 04 / 37896,On N Mont Clare Ave From W Foster Ave To W Carmen Ave
26,170 04 / 37896,On N Southport Ave From W School St To W Henderson St
27,170 04 / 37896,On N Mcalpin Ave From N Hiawatha Ave To N Sioux Ave
28,170 04 / 37896,On N Melvina Ave From W Grand Ave To W Palmer St
29,170 04 / 37896,On E Burton Pl From N State Pkwy To N Astor St
30,170 04 / 37896,On E Delaware Pl From N Michigan Ave To E 110
31,170 04 / 37896,On E Jackson Blvd From S Wabash Ave To E 75
32,170 04 / 37896,On E Ohio St From N State St To N Michigan Ave
33,170 04 / 37896,On N Artesian Ave From W Ohio St To N 532
34,170 04 / 37896,On N Austin Ave From W Waveland Ave To W Addison St
35,170 04 / 37896,On N Campbell Ave From W Fullerton Ave To W Belden Ave
36,170 04 / 37896,On N Central Ave From W Wrightwood Ave To W Fullerton Ave
37,170 04 / 37896,On N Cicero Ave From W Glenlake Ave To N Caldwell Ave
38,170 04 / 37896,On N Cleveland Ave From W Belden Ave To W Fullerton Pkwy
39,170 04 / 37896,On N California Ave From W George St To W Schubert Ave
40,170 04 / 37896,On N Lincoln Ave From W Peterson Ave To N Whipple St
41,170 04 / 37896,On N Greenview Ave From W Division St To W Potomac Ave
42,170 04 / 37896,On N Hamlin Ave From W Palmer St To W Dickens Ave
43,170 04 / 37896,On N Hiawatha Ave From N Jean Ave To N Loleta Ave
44,170 04 / 37896,On N Keating Ave From N 4700 To N 4647
45,170 04 / 37896,On N Kedzie Ave From W Diversey Ave To N Milwaukee Ave
46,170 04 / 37896,On N Kercheval Ave From N Kirby Ave To N Rogers Ave
47,170 04 / 37896,On N Laramie Ave From W Diversey Ave To W Schubert Ave
48,170 04 / 37896,On N Lemont Ave From N Hiawatha Ave To N Ionia Ave
49,170 04 / 37896,On N Elston Ave From N Luna Ave To N Lotus Ave
50,170 04 / 37896,On N Sheridan Rd From W Howard St To W Birchwood Ave
51,170 04 / 37896,On N Sauganash Ave From N Tripp Ave To N Keeler Ave
52,170 04 / 37896,On N Sacramento Ave From W Jerome St To W Sherwin Ave
53,170 04 / 37896,On N Rockwell St From W Wabansia Ave To W Le Moyne St
54,170 04 / 37896,On N Oak Park Ave From W Byron St To W Grace St
55,170 04 / 37896,On N Pulaski Rd From W Peterson Ave To W Bryn Mawr Ave
56,170 04 / 37896,On N Ozanam Ave From W Bryn Mawr Ave To W Gregory St
57,170 04 / 37896,On N Odell Ave From W Chase Ave To W Jarvis Ave
58,170 04 / 37896,On N Springfield Ave From W Addison St To W Cornelia Ave
59,170 04 / 37896,On N Racine Ave From W Melrose St To W Belmont Ave
60,170 04 / 37896,On N State St From W Lake St To N 177
61,170 04 / 37896,On S Loomis St From W 15th St To W 16th St
62,170 04 / 37896,On N Western Ave From N 404 To W Grand Ave
63,170 04 / 37896,On S Bishop St From W 109th Pl To W 112th Pl
64,170 04 / 37896,On S Blue Island Ave From S Racine Ave To W 15th St
65,170 04 / 37896,On S Canal St From W Monroe St To W Adams St
66,170 04 / 37896,On S Clinton St From W Madison St To W Kinzie St
67,170 04 / 37896,On S Dorchester Ave From E 58th St To E 59th St
68,170 04 / 37896,On S Harper Ave From E 58th St To E 59th St
69,170 04 / 37896,On S Jefferson St From W Harrison St To W Monroe St
70,170 04 / 37896,On S Kenwood Ave From E 61st St To S 6253
71,170 04 / 37896,On N Natchez Ave From W Gregory St To W Catalpa Ave
72,170 04 / 37896,On N Virginia Ave From W Balmoral Ave To W Berwyn Ave
73,170 04 / 37896,On N Morgan St From W Huron St To W Chicago Ave
74,170 04 / 37896,On N Mendota Ave From N Ionia Ave To N Mason Ave
75,170 04 / 37896,On N Mcalpin Ave From N Medford Ave To N Leoti Ave
76,170 04 / 37896,On E Chicago Ave From E 38  To N Clark St
77,170 04 / 37896,On E Goethe St From N State Pkwy To N Astor St
78,170 04 / 37896,On E North Ave From N State Pkwy To N Astor St
79,170 04 / 37896,On E Schiller St From N State Pkwy To N Astor St
